,u_dac_1,u_dac_2,u_dac_3,u_dac_4,u_dac_5,u_dac_6,u_dac_7,u_dac_8,u_dac_9,u_dac_10
y_S11,-0.008225770923931076,-0.013987316696237501,-0.0012956854197173923,-0.004404612946571148,-0.007853123040405478,-0.006079956998950649,-0.0035958313075010358,-0.0006371517095969757,-0.005650891686268217,-0.0015070426973301924
y_S12,-0.0034293475927728717,-0.006979999363400449,-0.001576394890715191,-0.01862036448122692,-0.006573417515711652,-0.021205024742449383,-0.029672847872561123,-0.008484129336930497,-0.03744058720071146,-0.03631358255821063
y_S21,-0.0003650052629982914,-0.0024439585624156657,-5.522586163045351e-05,-0.0006473627952130745,-0.0018094580324605897,-0.00010455831464524501,7.171861403039437e-05,-2.7658228454467e-05,-0.0012567666897464833,-8.433683103013269e-05
y_S22,-9.076185607930637e-05,-0.00046710432740846436,-2.1265201123936428e-05,-0.004177492785159984,-0.00014999101062294212,-0.0004967164799442383,-0.0018860851066264256,-0.00019660968917702137,-0.0028209726729308115,-0.0023794687362865058
y_S31,-0.0002772578468850165,-0.0106011607278063,-0.00019384118716941207,-0.00892347166894375,-0.006188728038985514,-0.0002595007078329756,-0.0007867759709470831,-7.453032552794461e-05,-0.012928887593648242,-0.002858365792521301
y_S32,-0.00022953443297053094,-0.00015391480532144647,-0.00021273207414700124,-0.05364364162058266,-0.009244159874548734,-0.0030444254301001186,-0.05415903825848097,-0.010538937510280313,-0.0766969260008971,-0.023969979101278592
