,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32
y_S11,0.7514779414190347,0.015780813977426436,0.313053182602509,0.2523945495603774,-0.3225369151003035,-0.003901628244613667
y_S12,0.021096474507835524,0.8002932468447089,-0.16360555312712105,0.47984647364173383,-0.024548292747026634,-0.14640939745118753
y_S21,-0.007085962374511499,-0.0013242703865867789,0.9627477136505705,0.1466083874326815,-0.10085005554448082,-0.00021411593869025136
y_S22,-0.015291526754776697,0.003568340031502748,0.24635732374865,0.8406555391923031,-0.060555322355621166,-0.014072415750467554
y_S31,-0.008331627039861702,0.003407058569083188,0.37878736317630046,0.21686401164726354,0.41689300154427933,-0.00669435662182194
y_S32,-0.007490577914303674,0.04148651801499492,0.00973203435755976,0.5356979808975744,-0.0321779595245216,0.46154690066270077
