sector,Kp,Ki,Kd,N
S11,-0.0244452628991318,-0.531179150690327,0,0
S12,-0.0169103530328437,-0.367450618098221,0,0
S21,-0.0210356439247087,-0.457090419532684,0,0
S22,-0.0160889362413071,-0.349601782702522,0,0
S31,-0.0134073600960506,-0.291332933427869,0,0
S32,-0.0118073192511919,-0.256565120107602,0,0
