# timestamp: 20251101_201347
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: LF2
# light_col: 2
# light_channel: 5
# duration_s: 4.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
38,3.647863,0.095967,200,1,97.4874,120.6672,87.8775,90.6213,88.9719,108.3266,48.9264,17.362,49.8252,48.4964,48.4889,38.5872,0
39,3.739899,0.092036,200,1,97.4517,120.6363,87.8674,90.6051,88.9608,108.3016,48.9274,17.3857,49.8278,48.5065,48.4954,38.5947,0
40,3.831928,0.092029,200,1,97.4483,120.6177,87.8672,90.6054,88.9608,108.2851,48.9294,17.402,49.8268,48.5124,48.5088,38.6247,0
41,3.927881,0.095954,200,1,97.4416,120.6151,87.8659,90.594,88.9552,108.2779,48.9281,17.4245,49.8255,48.5062,48.5166,38.6084,0
42,4.019901,0.092019,200,1,97.4328,120.6022,87.865,90.592,88.9577,108.2721,48.9284,17.4372,49.8301,48.5244,48.5133,38.6374,0
43,4.111932,0.092032,200,1,97.4202,120.5832,87.8567,90.5897,88.9478,108.2619,48.9258,17.4665,49.8255,48.5208,48.514,38.6201,0
44,4.207896,0.095964,200,1,97.4097,120.5806,87.8575,90.5826,88.9454,108.2506,48.9264,17.4932,49.8262,48.5234,48.5176,38.6462,0
45,4.29992,0.092024,200,1,97.4144,120.5851,87.8577,90.5839,88.9438,108.2507,48.9294,17.4818,49.8285,48.5208,48.5163,38.6396,0
46,4.391944,0.092024,200,1,97.4146,120.5743,87.8546,90.5811,88.9393,108.2467,48.9219,17.5016,49.8294,48.5257,48.5091,38.6618,0
47,4.487904,0.09596,200,1,97.4145,120.5832,87.8606,90.5845,88.9435,108.2497,48.9297,17.4889,49.8288,48.5137,48.5052,38.6523,0
48,4.579936,0.092032,0,-1,97.4017,120.5654,87.8564,90.5819,88.94,108.2407,48.93,17.555,49.8304,48.5228,48.513,38.6481,0
49,4.672015,0.092079,0,-1,97.4077,120.5667,87.8483,90.5747,88.9296,108.1981,48.9287,17.5029,49.8242,48.5329,48.527,38.693,0
50,4.767955,0.09594,0,-1,88.5965,109.1579,85.812,86.6613,85.7061,89.3156,50.0,37.0404,50.0,49.9479,50.0,49.9251,0
51,4.859975,0.09202,0,-1,88.5996,109.1646,85.8122,86.6583,85.706,89.3141,50.0,37.0674,50.0,49.9469,50.0,49.9261,0
52,4.955952,0.095977,0,-1,88.5978,109.1656,85.8203,86.6645,85.707,89.3144,50.0,37.042,50.0,49.9453,50.0,49.9268,0
53,5.047952,0.092,0,-1,88.594,109.1608,85.8169,86.6592,85.7042,89.3172,50.0,37.0534,50.0,49.9479,50.0,49.9281,0
54,5.139987,0.092035,200,1,88.6029,109.1716,85.8124,86.6601,85.7046,89.3167,50.0,37.0755,49.9993,49.9453,50.0,49.9271,0
55,5.235936,0.095949,200,1,88.6011,109.1792,85.8246,86.6784,85.7411,89.9533,50.0,37.0381,50.0,49.9463,50.0,49.9245,0
56,5.327973,0.092038,200,1,97.4993,120.6917,87.8797,90.6221,88.9705,108.3238,48.9183,17.3844,49.8265,48.5062,48.4945,38.5837,0
57,5.420016,0.092042,200,1,97.4664,120.6557,87.8712,90.6067,88.9622,108.297,48.9297,17.3828,49.8232,48.5039,48.498,38.6178,0
58,5.515964,0.095949,200,1,97.4496,120.642,87.8626,90.6,88.954,108.2803,48.9238,17.3926,49.8281,48.5234,48.5062,38.6413,0
59,5.607983,0.092018,200,1,97.439,120.6301,87.8659,90.5975,88.9517,108.2657,48.9255,17.4424,49.8258,48.5133,48.5049,38.6426,0
60,5.700038,0.092056,200,1,97.4212,120.617,87.857,90.5888,88.949,108.2528,48.9303,17.4482,49.8281,48.5114,48.5179,38.6341,0
61,5.796017,0.095978,200,1,97.4201,120.6081,87.8578,90.5858,88.9432,108.2496,48.9281,17.4453,49.8262,48.5264,48.527,38.6361,0
62,5.888013,0.091997,200,1,97.4149,120.6029,87.8585,90.5885,88.9394,108.2431,48.9274,17.4922,49.8288,48.515,48.5127,38.6624,0
63,5.983989,0.095976,0,-1,97.4059,120.6045,87.8559,90.5845,88.9404,108.2397,48.93,17.4476,49.8275,48.5228,48.5127,38.6335,0
64,6.076011,0.092022,0,-1,97.422,120.5996,87.8542,90.5802,88.9335,108.2051,48.9303,17.5078,49.8258,48.5212,48.5221,38.6911,0
65,6.168047,0.092036,0,-1,88.6032,109.1835,85.8158,86.6589,85.7076,89.3212,50.0,37.001,50.0,49.9447,50.0,49.9242,0
66,6.263999,0.095952,200,1,88.6018,109.1682,85.8172,86.6605,85.7044,89.3103,50.0,37.0439,49.9993,49.9476,50.0,49.9274,0
67,6.356011,0.092013,200,1,88.5964,109.1646,85.8175,86.6734,85.7415,89.9232,50.0,37.0615,50.0,49.9476,50.0,49.9258,0
68,6.448059,0.092048,200,1,97.4699,120.6474,87.8726,90.6083,88.9619,108.3069,48.9167,17.4375,49.8281,48.5042,48.4961,38.6117,0
