# timestamp: 20251101_201140
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HS11
# light_col: 1
# light_channel: 1
# duration_s: 4.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.095903,0.0,200,1,107.4751,113.8032,91.3094,87.5184,88.8426,93.3114,28.5225,28.3522,49.2933,49.9382,49.2077,49.7363,0
1,0.18787,0.091967,200,1,107.4683,113.7982,91.3145,87.521,88.8461,93.3116,28.4941,28.4193,49.2881,49.9398,49.209,49.7376,0
2,0.283604,0.095734,200,1,107.4769,113.7931,91.3133,87.5213,88.8415,93.3124,28.5459,28.4222,49.2972,49.9372,49.2035,49.7373,0
3,0.37563,0.092026,200,1,107.4781,113.7971,91.3118,87.5188,88.8396,93.3131,28.6188,28.3633,49.293,49.9385,49.207,49.7334,0
4,0.467683,0.092053,200,1,107.4744,113.783,91.3083,87.5181,88.8363,93.3009,28.5059,28.4108,49.2952,49.9378,49.209,49.7367,0
5,0.563635,0.095952,200,1,107.4646,113.7736,91.3089,87.5192,88.8417,93.3116,28.5264,28.3965,49.3018,49.9395,49.208,49.7412,0
6,0.655668,0.092033,200,1,107.4815,113.8053,91.309,87.517,88.841,93.3131,28.4821,28.3799,49.2874,49.9391,49.2038,49.7406,0
7,0.747687,0.092018,200,1,107.4747,113.8006,91.309,87.5199,88.8443,93.3103,28.4176,28.3363,49.2985,49.9398,49.1999,49.7396,0
8,0.84368,0.095993,200,1,107.4659,113.7718,91.3068,87.5198,88.8408,93.31,28.5837,28.4375,49.2985,49.9401,49.2093,49.734,0
9,0.935672,0.091992,200,1,107.4716,113.7886,91.3086,87.5222,88.8427,93.3055,28.5205,28.3356,49.2962,49.9395,49.2077,49.7402,0
10,1.027719,0.092047,200,1,107.4776,113.8146,91.3099,87.5239,88.8441,93.3124,28.471,28.3704,49.2962,49.9411,49.2041,49.7399,0
11,1.123662,0.095943,200,1,107.4813,113.8234,91.3062,87.5267,88.844,93.3173,28.5423,28.2979,49.2995,49.9382,49.2025,49.7383,0
12,1.215678,0.092016,0,-1,107.4762,113.8055,91.3091,87.5228,88.8432,93.3164,28.5768,28.3027,49.3011,49.9378,49.2083,49.7412,0
13,1.307746,0.092068,0,-1,107.4405,113.8092,91.291,87.5184,88.8148,93.2867,28.6243,28.2988,49.2988,49.9411,49.207,49.7363,0
14,1.403687,0.095941,0,-1,88.657,109.4808,85.8448,86.7006,85.7424,89.5787,50.0,36.4417,50.0,49.9469,50.0,49.9307,0
15,1.495714,0.092027,0,-1,88.6587,109.4595,85.843,86.6968,85.7434,89.5746,50.0,36.4629,50.0,49.9456,50.0,49.9284,0
16,1.591682,0.095968,0,-1,88.6517,109.4376,85.8428,86.6964,85.7423,89.567,50.0,36.5244,50.0,49.9469,50.0,49.9294,0
17,1.68369,0.092008,0,-1,88.6542,109.4328,85.8409,86.6975,85.7478,89.5735,50.0,36.5322,50.0,49.946,50.0,49.9287,0
18,1.775751,0.092061,200,1,88.6521,109.4507,85.842,86.6922,85.7406,89.5715,50.0,36.5667,50.0,49.945,50.0,49.931,0
19,1.87169,0.095939,200,1,88.6627,109.4411,85.8543,86.6989,85.7666,89.5956,50.0,36.5557,50.0,49.946,50.0,49.9274,0
20,1.963725,0.092036,200,1,107.4732,113.7671,91.3067,87.5166,88.8406,93.3088,28.4606,28.4079,49.2917,49.9382,49.2051,49.7376,0
21,2.055752,0.092027,200,1,107.4683,113.7614,91.3077,87.5193,88.843,93.3105,28.5127,28.4674,49.2998,49.9401,49.2018,49.7399,0
22,2.151716,0.095964,200,1,107.4716,113.7747,91.3054,87.5157,88.8416,93.3118,28.6257,28.4421,49.2926,49.9391,49.2061,49.7409,0
23,2.243733,0.092017,200,1,107.4694,113.7687,91.3075,87.516,88.8429,93.3097,28.4684,28.4404,49.293,49.9391,49.2067,49.7367,0
24,2.335765,0.092032,0,-1,107.4651,113.7509,91.3051,87.5168,88.8467,93.3141,28.4674,28.4469,49.2943,49.9408,49.2054,49.7373,0
25,2.431754,0.095989,0,-1,107.4396,113.7542,91.288,87.5117,88.8156,93.2867,28.6904,28.5039,49.3018,49.9404,49.2109,49.7402,0
26,2.523777,0.092023,0,-1,88.6526,109.4328,85.8395,86.6941,85.7408,89.5715,50.0,36.5771,49.9997,49.9469,50.0,49.929,0
27,2.619724,0.095947,0,-1,88.6502,109.4277,85.8423,86.6941,85.7366,89.5692,50.0,36.5553,50.0,49.9469,50.0,49.9281,0
28,2.711771,0.092047,0,-1,88.6501,109.4114,85.8405,86.6943,85.7509,89.5714,50.0,36.5846,49.9997,49.9466,50.0,49.9294,0
29,2.803822,0.092051,0,-1,88.651,109.4112,85.8435,86.6937,85.7441,89.5678,50.0,36.6025,50.0,49.9466,50.0,49.929,0
30,2.899775,0.095953,200,1,88.6578,109.4257,85.8409,86.6937,85.7422,89.5702,50.0,36.6042,50.0,49.944,50.0,49.9268,0
31,2.991794,0.092019,200,1,88.6603,109.4307,85.8486,86.6966,85.7667,89.5977,50.0,36.5527,50.0,49.9466,50.0,49.9268,0
32,3.083826,0.092032,200,1,107.461,113.7705,91.3073,87.521,88.8415,93.3082,28.499,28.4424,49.2988,49.9421,49.2064,49.7386,0
33,3.179809,0.095983,0,-1,107.4699,113.7634,91.3104,87.5167,88.8403,93.3112,28.5387,28.4642,49.2972,49.9395,49.2067,49.7441,0
34,3.271815,0.092005,0,-1,107.4684,113.7655,91.2936,87.5153,88.8224,93.2898,28.5329,28.4762,49.2988,49.9411,49.21,49.7412,0
35,3.363846,0.092031,0,-1,88.6593,109.4108,85.8414,86.6889,85.7434,89.581,50.0,36.6569,50.0,49.946,50.0,49.9255,0
36,3.459866,0.09602,200,1,88.6505,109.3866,85.8401,86.6865,85.7423,89.574,50.0,36.6263,50.0,49.9476,50.0,49.9284,0
37,3.551856,0.09199,200,1,88.6572,109.3812,85.85,86.6909,85.7697,89.6002,50.0,36.7256,50.0,49.9473,50.0,49.9287,0
38,3.647811,0.095955,200,1,107.4654,113.7313,91.3137,87.5125,88.8404,93.31,28.5856,28.5667,49.3024,49.9398,49.2051,49.7386,0
39,3.739832,0.092021,200,1,107.4694,113.723,91.3086,87.5138,88.8444,93.304,28.4785,28.5804,49.293,49.9411,49.2031,49.7367,0
40,3.831866,0.092034,200,1,107.4546,113.7061,91.3064,87.5148,88.8395,93.3031,28.5661,28.6133,49.292,49.9417,49.2067,49.7428,0
