# timestamp: 20251101_211241
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 5.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: LS1
# light_col: 1
# light_channel: 3
# duration_s: 12.0
# dark_thresh: 100
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.095929,0.0,0,-1,87.4924,101.0482,85.3132,85.8616,85.2705,87.3263,50.0,40.8678,49.9967,49.9157,50.0,49.9909,0
1,0.187668,0.091739,0,-1,87.4982,101.0471,85.31,85.853,85.2743,87.3299,50.0,40.8688,49.9974,49.916,50.0,49.9912,0
2,0.283661,0.095992,0,-1,87.5046,101.0423,85.3127,85.8541,85.2752,87.3332,50.0,40.8646,49.9967,49.9144,50.0,49.9886,0
3,0.37566,0.091999,0,-1,87.5314,101.0498,85.3161,85.8556,85.2775,87.3286,50.0,40.8656,49.9967,49.9163,50.0,49.9909,0
4,0.467708,0.092048,0,-1,87.5136,101.0497,85.3216,85.8602,85.2739,87.3346,50.0,40.8685,49.9971,49.9131,50.0,49.9919,0
5,0.563653,0.095945,0,-1,87.4947,101.05,85.316,85.8546,85.273,87.3271,50.0,40.8682,49.9964,49.9147,50.0,49.9932,0
6,0.655683,0.09203,200,1,87.4996,101.0474,85.3115,85.8582,85.2731,87.3313,50.0,40.8691,49.9967,49.9144,50.0,49.9919,0
7,0.747673,0.09199,200,1,87.517,101.0517,85.3164,85.8627,85.2831,87.3347,50.0,40.8649,49.9967,49.9137,50.0,49.9902,0
8,0.843673,0.096,200,1,90.5224,101.9225,85.7632,86.1009,85.996,87.7748,49.8382,40.8516,49.9964,49.9144,49.9958,49.9896,0
9,0.935663,0.09199,200,1,90.4856,101.9163,85.7586,86.0938,85.9834,87.7666,49.8415,40.8555,49.9964,49.9131,49.9951,49.9909,0
10,1.0277,0.092037,200,1,90.4843,101.9211,85.7638,86.0968,85.9889,87.7655,49.8376,40.861,49.9967,49.9141,49.9951,49.9906,0
11,1.123677,0.095977,200,1,90.4891,101.9192,85.7634,86.0992,85.9909,87.7689,49.8392,40.8639,49.9964,49.9137,49.9951,49.9899,0
12,1.215685,0.092009,200,1,90.5179,101.9256,85.7627,86.0943,85.9974,87.7679,49.8408,40.8551,49.9967,49.9111,49.9954,49.9912,0
13,1.307734,0.092048,200,1,90.5065,101.9221,85.7629,86.0983,85.9906,87.7704,49.8451,40.8538,49.9967,49.9137,49.9954,49.9912,0
14,1.403671,0.095938,200,1,90.4854,101.9157,85.76,86.0952,85.983,87.762,49.8405,40.859,49.9964,49.9134,49.9951,49.9906,0
15,1.49572,0.092048,0,-1,90.4848,101.9167,85.7586,86.0965,85.9913,87.7686,49.8434,40.8665,49.9964,49.9134,49.9951,49.9912,0
16,1.591684,0.095964,0,-1,89.9033,101.756,85.6913,86.056,85.8581,87.6841,49.8828,40.8555,49.9964,49.9128,49.9997,49.9906,0
17,1.683688,0.092004,0,-1,87.5318,101.0581,85.3182,85.8597,85.2791,87.3343,50.0,40.8695,49.9967,49.9124,50.0,49.9922,0
18,1.775733,0.092046,0,-1,87.5065,101.0546,85.3152,85.864,85.2727,87.327,50.0,40.8743,49.9967,49.9121,50.0,49.9896,0
19,1.871698,0.095965,0,-1,87.4948,101.0543,85.3142,85.8628,85.2757,87.3252,50.0,40.8724,49.9971,49.9131,50.0,49.9902,0
20,1.963725,0.092026,0,-1,87.504,101.0633,85.314,85.858,85.273,87.3239,50.0,40.8662,49.9974,49.9124,50.0,49.9902,0
21,2.055759,0.092034,200,1,87.522,101.0724,85.3202,85.8663,85.2787,87.3279,50.0,40.859,49.9967,49.9121,50.0,49.9912,0
22,2.151707,0.095949,200,1,87.5279,101.0652,85.3222,85.8663,85.289,87.3295,50.0,40.8701,49.9964,49.9118,50.0,49.9902,0
23,2.243721,0.092014,200,1,90.4782,101.9341,85.7586,86.0994,85.9833,87.7532,49.8382,40.863,49.9967,49.9128,49.9958,49.9889,0
24,2.335762,0.092041,200,1,90.4786,101.9373,85.7621,86.104,85.9868,87.7671,49.8395,40.8551,49.9961,49.9121,49.9948,49.9899,0
25,2.431744,0.095983,200,1,90.4994,101.9316,85.759,86.1009,85.9908,87.7721,49.8395,40.8617,49.9964,49.9102,49.9961,49.9906,0
26,2.52376,0.092016,200,1,90.5163,101.9319,85.7668,86.1025,85.9919,87.7653,49.8398,40.8587,49.9964,49.9131,49.9951,49.9909,0
27,2.619745,0.095985,200,1,90.5,101.9234,85.7606,86.0996,85.9875,87.7626,49.8353,40.8617,49.9964,49.9111,49.9958,49.9909,0
28,2.711771,0.092025,200,1,90.4771,101.916,85.7622,86.1007,85.9912,87.764,49.8369,40.8587,49.9971,49.9111,49.9954,49.9912,0
29,2.803817,0.092046,200,1,90.4778,101.9168,85.7607,86.1011,85.9826,87.7604,49.8418,40.8542,49.9964,49.9115,49.9954,49.9899,0
30,2.899785,0.095968,200,1,90.4947,101.9127,85.7626,86.0945,85.9934,87.7674,49.8389,40.8581,49.9964,49.9108,49.9948,49.9902,0
31,2.991778,0.091993,200,1,90.5106,101.9156,85.7637,86.097,85.9915,87.7673,49.8408,40.8617,49.9964,49.9115,49.9954,49.9906,0
32,3.083819,0.09204,200,1,90.4802,101.9133,85.7575,86.0997,85.9842,87.765,49.8405,40.8607,49.9964,49.9118,49.9954,49.9919,0
33,3.179777,0.095958,0,-1,90.4751,101.9183,85.7599,86.1004,85.985,87.7677,49.8395,40.8561,49.9964,49.9105,49.9951,49.9909,0
34,3.271801,0.092024,0,-1,90.2495,101.8512,85.7278,86.0781,85.9329,87.7352,49.8597,40.8607,49.9961,49.9124,49.9967,49.9902,0
35,3.363853,0.092051,0,-1,87.519,101.0556,85.3229,85.8696,85.2815,87.3322,50.0,40.8649,49.9964,49.9115,50.0,49.9902,0
36,3.459801,0.095948,200,1,87.5177,101.0707,85.3177,85.8638,85.2801,87.3284,50.0,40.8577,49.9971,49.9137,50.0,49.9912,0
