# started_utc=2025-11-04T12:08:43.795515Z
# rows=3
# cols=2
# PID_Kp=1.2
# PID_Ki=2.4
# PID_Kd=0.045
# time_notes=t_iso_utc is UTC; t_unix_s is epoch seconds; monotonic_ns is high-res monotonic clock
t_iso_utc,t_unix_s,monotonic_ns,loop_dt_ms,frame_dt_ms,loop_idx,auto_mode,dn_state,profile,exposure_locked,exposure_ms,exposure_gain,PID_Kp,PID_Ki,PID_Kd,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T12:08:44.235939Z,1762258124.235948,14365509363028,0.000445,,1,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:08:44.486911Z,1762258124.486922,14366187053342,677.690314,250.826222,2,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:08:44.554828Z,1762258124.554840,14366256914286,69.860944,67.936889,3,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,3,1,0,3,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:08:44.622951Z,1762258124.622963,14366325754194,68.839908,68.18087,4,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,3,1,0,3,4,3,4,4,3,4,4,4,4,4
2025-11-04T12:08:44.692414Z,1762258124.692439,14366394667786,68.913592,68.922518,5,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,3,1,0,3,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:08:44.761708Z,1762258124.761719,14366464688009,70.020223,69.846889,6,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,3,1,0,3,3,2,3,3,2,3,3,3,3,3
2025-11-04T12:08:44.828384Z,1762258124.828395,14366531750212,67.062203,66.796,7,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,3,1,0,2,4,4,4,4,4,4,4,4,4,4
2025-11-04T12:08:44.894872Z,1762258124.894884,14366598148064,66.397852,66.431296,8,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,3,1,0,2,5,4,5,5,4,5,5,5,5,5
2025-11-04T12:08:44.961266Z,1762258124.961276,14366664643860,66.495796,66.449186,9,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,3,1,0,2,5,4,5,5,4,5,5,5,5,5
2025-11-04T12:08:45.028747Z,1762258125.028757,14366731974434,67.330574,67.486962,10,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,3,1,0,2,4,4,4,4,3,4,4,4,4,4
