# timestamp: 20251101_165944
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10
# stimulus: rand_telegraph
# low: 0
# high: 16
# hold_frames: 3
# test_light: HS22
# duration_s: 5.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,y_metric,y_mean,y_std,y_p10,y_p90,sat_lo_pct,sat_hi_pct,frame_drop
0,0.091529,0.0,16,1,54.0486,95.453,15.307,85.0,116.0,0.0,0.0,0
1,0.183529,0.092,16,1,58.7292,93.625,13.244,85.0,111.0,0.0,0.0,0
2,0.279273,0.095743,16,1,58.7569,93.626,13.244,85.0,111.0,0.0,0.0,0
3,0.371303,0.09203,0,-1,58.7153,93.62,13.237,85.0,111.0,0.0,0.0,0
4,0.463329,0.092026,0,-1,63.7708,92.033,11.676,85.0,105.0,0.0,0.0,0
5,0.559325,0.095996,0,-1,72.2153,90.07,10.705,84.0,98.0,0.0,0.0,0
6,0.651297,0.091972,16,1,72.1806,90.068,10.705,84.0,98.0,0.0,0.0,0
7,0.743344,0.092047,16,1,71.8819,90.092,10.706,84.0,98.0,0.0,0.0,0
8,0.839307,0.095963,16,1,58.6736,93.628,13.243,85.0,111.0,0.0,0.0,0
9,0.93132,0.092013,16,1,58.6944,93.623,13.243,85.0,111.0,0.0,0.0,0
10,1.0273,0.095979,16,1,58.7153,93.628,13.247,85.0,111.0,0.0,0.0,0
11,1.119308,0.092008,16,1,58.7778,93.626,13.251,85.0,111.0,0.0,0.0,0
12,1.21136,0.092052,0,-1,58.7083,93.63,13.255,85.0,111.0,0.0,0.0,0
13,1.307322,0.095962,0,-1,64.5139,91.857,11.536,85.0,104.0,0.0,0.0,0
14,1.399332,0.09201,0,-1,72.1458,90.081,10.71,84.0,98.0,0.0,0.0,0
15,1.491377,0.092045,0,-1,72.0903,90.079,10.718,84.0,98.0,0.0,0.0,0
16,1.587322,0.095945,0,-1,72.0903,90.084,10.717,84.0,98.0,0.0,0.0,0
17,1.679352,0.09203,0,-1,72.1181,90.083,10.716,84.0,98.0,0.0,0.0,0
18,1.77138,0.092028,0,-1,72.1736,90.078,10.711,84.0,98.0,0.0,0.0,0
19,1.867345,0.095965,0,-1,72.2014,90.079,10.717,84.0,98.0,0.0,0.0,0
20,1.95937,0.092025,0,-1,72.125,90.085,10.715,84.0,98.0,0.0,0.0,0
21,2.051482,0.092111,0,-1,72.1458,90.082,10.718,84.0,98.0,0.0,0.0,0
22,2.147356,0.095874,0,-1,72.1042,90.084,10.721,84.0,98.0,0.0,0.0,0
23,2.239402,0.092046,0,-1,72.1042,90.078,10.711,84.0,98.0,0.0,0.0,0
24,2.335367,0.095965,16,1,72.0694,90.078,10.717,84.0,98.0,0.0,0.0,0
25,2.427394,0.092027,16,1,71.9028,90.099,10.715,84.0,98.0,0.0,0.0,0
26,2.519422,0.092028,16,1,58.7639,93.631,13.257,85.0,111.0,0.0,0.0,0
27,2.615375,0.095953,16,1,58.7917,93.632,13.262,85.0,111.0,0.0,0.0,0
28,2.707399,0.092024,16,1,58.7847,93.637,13.258,85.0,111.0,0.0,0.0,0
29,2.799435,0.092035,16,1,58.7986,93.633,13.255,85.0,111.0,0.0,0.0,0
30,2.895398,0.095963,16,1,58.7222,93.634,13.26,85.0,111.0,0.0,0.0,0
31,2.987415,0.092017,16,1,58.6667,93.637,13.262,85.0,111.0,0.0,0.0,0
32,3.079461,0.092045,16,1,58.7222,93.635,13.256,85.0,111.0,0.0,0.0,0
33,3.175418,0.095958,0,-1,58.6597,93.643,13.258,85.0,111.0,0.0,0.0,0
34,3.267501,0.092083,0,-1,63.2847,92.189,11.815,85.0,106.0,0.0,0.0,0
35,3.363426,0.095925,0,-1,72.0903,90.089,10.724,84.0,98.0,0.0,0.0,0
36,3.455456,0.09203,0,-1,72.1181,90.087,10.722,84.0,98.0,0.0,0.0,0
