# started_utc=2025-11-04T12:43:35.237043Z
# rows=3
# cols=2
# PID_Kp=1.2
# PID_Ki=2.4
# PID_Kd=0.045
# time_notes=t_iso_utc is UTC; t_unix_s is epoch seconds; monotonic_ns is high-res monotonic clock
t_iso_utc,t_unix_s,monotonic_ns,loop_dt_ms,frame_dt_ms,loop_idx,auto_mode,dn_state,profile,exposure_locked,exposure_ms,exposure_gain,PID_Kp,PID_Ki,PID_Kd,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T12:43:35.679973Z,1762260215.679983,16456950897096,0.000408,,1,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:43:35.942020Z,1762260215.942041,16457643701947,692.804851,262.000314,2,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:43:36.019410Z,1762260216.019420,16457715871373,72.169426,77.525537,3,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:43:36.086742Z,1762260216.086754,16457789161688,73.290315,67.177445,4,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,3,4,4,4,4,4
2025-11-04T12:43:36.153879Z,1762260216.153895,16457856475651,67.313963,67.175463,5,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,3,4,4,4,4,4
2025-11-04T12:43:36.221293Z,1762260216.221304,16457924278355,67.802704,67.515,6,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,3,4,4,4,4,4
2025-11-04T12:43:36.288132Z,1762260216.288142,16457991133392,66.855037,66.840333,7,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,4,4,4,4,4,4
2025-11-04T12:43:36.355382Z,1762260216.355399,16458057914891,66.781499,66.9255,8,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,4,4,4,4,4,4
2025-11-04T12:43:36.422207Z,1762260216.422216,16458125329354,67.414463,67.152333,9,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,3,4,4,4,4,4
2025-11-04T12:43:36.488963Z,1762260216.488973,16458191961854,66.6325,66.744945,10,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,0,4,4,4,4,4,4,4,4,4,4
2025-11-04T12:43:36.556547Z,1762260216.556556,16458258723928,66.762074,67.629944,11,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,3,4,4,4,4,4
2025-11-04T12:43:36.623540Z,1762260216.623549,16458326148651,67.424723,66.971,12,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,0,4,4,4,4,4,4,4,4,4,4
2025-11-04T12:43:36.690041Z,1762260216.690050,16458393288225,67.139574,66.480704,13,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,5,5,5,5,4,4,5,5,5,5
2025-11-04T12:43:36.758857Z,1762260216.758868,16458460600150,67.311925,68.643815,14,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:43:36.827717Z,1762260216.827727,16458528947169,68.347019,69.063574,15,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,3,3,3,2,3,3,3,3,3
2025-11-04T12:43:36.896964Z,1762260216.896974,16458598080484,69.133315,69.255907,16,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:43:36.963595Z,1762260216.963605,16458666676669,68.596185,66.53863,17,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,5,5,4,5,3,4,5,5,5,5
2025-11-04T12:43:37.030182Z,1762260217.030192,16458733211354,66.534685,66.583166,18,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,0,5,4,5,4,4,4,5,5,5,5
2025-11-04T12:43:37.097503Z,1762260217.097513,16458799875206,66.663852,67.427648,19,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,3,4,4,4,4,4
2025-11-04T12:43:37.164059Z,1762260217.164069,16458867187298,67.312092,66.498111,20,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,0,5,4,5,5,4,4,5,5,5,5
2025-11-04T12:43:37.231635Z,1762260217.231645,16458934557595,67.370297,67.553982,21,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,3,4,4,4,4,4
2025-11-04T12:43:37.299938Z,1762260217.299948,16459002972984,68.415389,68.310963,22,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,3,3,3,3,3,4,4,4,4
2025-11-04T12:43:37.366608Z,1762260217.366618,16459069620687,66.647703,66.715889,23,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,4,4,4,4,4,4
2025-11-04T12:43:37.432995Z,1762260217.433006,16459136316187,66.6955,66.326259,24,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,5,5,5,5,4,4,5,5,5,5
2025-11-04T12:43:37.501811Z,1762260217.501821,16459204414724,68.098537,68.810666,25,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:43:37.569366Z,1762260217.569382,16459271640261,67.225537,67.504408,26,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,4,4,4,4,4,4
2025-11-04T12:43:37.638029Z,1762260217.638038,16459339479206,67.838945,68.755611,27,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:43:37.712185Z,1762260217.712195,16459414356205,74.876999,74.111463,28,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,1,0,0,0,0
2025-11-04T12:43:37.790128Z,1762260217.790138,16459491236909,76.880704,77.963759,29,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:43:37.866971Z,1762260217.866980,16459568749816,77.512907,76.823537,30,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:43:37.943406Z,1762260217.943415,16459645396909,76.647093,76.457685,31,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:43:38.020405Z,1762260218.020416,16459722830428,77.433519,76.975222,32,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:43:38.095377Z,1762260218.095387,16459798242742,75.412314,75.003963,33,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:43:38.165146Z,1762260218.165156,16459868110816,69.868074,69.762704,34,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,3,3,3,2,2,3,3,3,3
2025-11-04T12:43:38.233097Z,1762260218.233106,16459935063353,66.952537,67.378444,35,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,0,4,4,4,4,3,4,4,4,4,4
2025-11-04T12:43:38.300545Z,1762260218.300555,16460002866520,67.803167,68.062834,36,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,0,4,4,4,4,3,4,4,4,4,4
2025-11-04T12:43:38.372033Z,1762260218.372043,16460074184853,71.318333,71.474925,37,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,2,2,2,2,2,2,2,2,2,2
2025-11-04T12:43:38.443760Z,1762260218.443770,16460144544112,70.359259,71.751056,38,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,2,2,2,2,1,1,2,2,2,2
2025-11-04T12:43:38.513525Z,1762260218.513542,16460215034909,70.490797,69.554037,39,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,3,3,3,2,3,3,3,3,3
2025-11-04T12:43:38.589696Z,1762260218.589705,16460292463742,77.428833,76.352685,40,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:43:38.662334Z,1762260218.662353,16460364010242,71.5465,72.486222,41,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,1,1,1,1,1,1,1,1,1,1
