# timestamp: 20251101_201953
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 5.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: LF1
# light_col: 1
# light_channel: 5
# duration_s: 20.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.095861,0.0,200,1,96.169,104.8564,87.7532,86.4699,89.0803,91.5488,48.0771,40.6042,49.3747,49.9844,47.6865,46.9736,0
1,0.187574,0.091713,200,1,96.1597,104.8535,87.753,86.469,89.0809,91.5511,48.0951,40.6074,49.3825,49.9818,47.695,46.9749,0
2,0.283581,0.096007,200,1,96.1751,104.851,87.7538,86.4704,89.0846,91.555,48.0661,40.6032,49.3779,49.9827,47.6953,46.9827,0
3,0.375559,0.091978,200,1,96.1871,104.8542,87.7562,86.4745,89.0842,91.5582,48.0752,40.6094,49.3867,49.9827,47.6908,46.9834,0
4,0.467617,0.092058,200,1,96.171,104.8478,87.7556,86.4702,89.0871,91.5572,48.0768,40.6019,49.3838,49.9834,47.6885,46.9674,0
5,0.563578,0.095961,200,1,96.1593,104.8549,87.7543,86.467,89.0802,91.5509,48.0739,40.6003,49.3913,49.9831,47.6995,46.9548,0
6,0.65561,0.092032,0,-1,96.1615,104.8532,87.7521,86.4719,89.0781,91.5542,48.0638,40.6234,49.3835,49.9821,47.6979,46.9616,0
7,0.747625,0.092015,0,-1,96.1823,104.853,87.7534,86.4682,89.0696,91.5321,48.0788,40.6081,49.3844,49.9818,47.7077,46.9938,0
8,0.843612,0.095986,0,-1,87.4486,101.0572,85.3618,85.7539,85.3247,87.3428,50.0,40.9821,49.9954,50.0,50.0,49.9837,0
9,0.935593,0.091981,200,1,87.4273,101.0617,85.3515,85.7489,85.3198,87.3358,50.0,40.9893,49.9954,49.9993,50.0,49.9847,0
10,1.027651,0.092058,200,1,87.4283,101.0583,85.3717,85.7567,85.37,87.3864,50.0,40.9886,49.9938,50.0,50.0,49.984,0
11,1.123607,0.095956,200,1,96.2433,104.8878,87.7734,86.4746,89.1047,91.5741,48.0189,40.6204,49.3688,49.9821,47.6748,46.9046,0
12,1.215642,0.092034,200,1,96.2401,104.886,87.7724,86.4748,89.1013,91.5737,48.0303,40.5937,49.3695,49.9831,47.6852,46.9469,0
13,1.307738,0.092096,200,1,96.2226,104.8723,87.7659,86.4727,89.0938,91.5636,48.0286,40.6006,49.3734,49.9821,47.6917,46.9603,0
14,1.403634,0.095896,200,1,96.1949,104.8665,87.7626,86.4741,89.0953,91.562,48.0482,40.6136,49.3698,49.985,47.694,46.9463,0
15,1.495658,0.092024,200,1,96.1932,104.8728,87.7571,86.4712,89.0931,91.5635,48.0674,40.6234,49.3805,49.9837,47.6761,46.9463,0
16,1.591638,0.09598,200,1,96.1975,104.8688,87.7634,86.4744,89.0882,91.5598,48.0625,40.6312,49.3659,49.9837,47.681,46.9622,0
17,1.683674,0.092036,200,1,96.2082,104.8631,87.7667,86.475,89.0988,91.5647,48.0404,40.6182,49.3841,49.9831,47.6901,46.9749,0
18,1.775678,0.092005,200,1,96.1876,104.8598,87.7617,86.4704,89.0906,91.5617,48.0576,40.6188,49.3883,49.984,47.6855,46.9606,0
19,1.87164,0.095962,200,1,96.1659,104.8584,87.76,86.4729,89.0886,91.5615,48.0798,40.6061,49.3763,49.9834,47.6927,46.9574,0
20,1.963653,0.092013,200,1,96.1751,104.8615,87.7572,86.4711,89.0836,91.5537,48.0537,40.611,49.3854,49.9837,47.6895,46.9567,0
21,2.055698,0.092046,200,1,96.1955,104.857,87.7614,86.4739,89.0921,91.5565,48.0573,40.5937,49.3815,49.9818,47.6807,46.973,0
22,2.151664,0.095966,200,1,96.1958,104.853,87.7675,86.4759,89.0923,91.5546,48.0658,40.6139,49.3822,49.9821,47.6868,46.9375,0
23,2.243673,0.092009,200,1,96.1718,104.8491,87.7552,86.4727,89.089,91.5585,48.0609,40.6188,49.3776,49.9824,47.7002,46.9508,0
24,2.335724,0.092051,200,1,96.1739,104.85,87.7543,86.4704,89.0857,91.5564,48.0465,40.6126,49.3906,49.9837,47.6868,46.9629,0
25,2.431685,0.09596,200,1,96.1843,104.8609,87.7583,86.4718,89.0861,91.5573,48.0648,40.625,49.3844,49.9811,47.6982,46.9635,0
26,2.52375,0.092065,200,1,96.2032,104.8493,87.7619,86.4764,89.0909,91.5605,48.0563,40.6061,49.3779,49.9821,47.6917,46.9619,0
27,2.619705,0.095955,200,1,96.1909,104.8521,87.7565,86.4725,89.0886,91.5613,48.0518,40.6107,49.3854,49.9863,47.6908,46.9453,0
28,2.711696,0.091991,200,1,96.1713,104.846,87.7526,86.4729,89.0851,91.5483,48.0781,40.6074,49.3851,49.9831,47.6986,46.9593,0
29,2.803749,0.092053,200,1,96.1642,104.8459,87.7531,86.47,89.0824,91.5506,48.069,40.6071,49.3844,49.9821,47.6973,46.9867,0
30,2.899712,0.095963,0,-1,96.1928,104.8569,87.7628,86.4767,89.0853,91.5532,48.071,40.6087,49.3822,49.9827,47.6969,46.9632,0
31,2.991708,0.091995,0,-1,96.2027,104.8581,87.7629,86.4734,89.0706,91.5381,48.0798,40.5915,49.389,49.9834,47.7067,46.9844,0
32,3.083765,0.092057,0,-1,87.4333,101.0562,85.3574,85.7558,85.319,87.3366,50.0,40.9857,49.9951,49.9997,50.0,49.985,0
33,3.179763,0.095999,0,-1,87.4196,101.0572,85.3563,85.7605,85.3251,87.3396,50.0,40.9798,49.9941,49.9997,50.0,49.985,0
