# timestamp: 20251101_211657
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 5.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: LF2
# light_col: 2
# light_channel: 5
# duration_s: 12.0
# dark_thresh: 100
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.095958,0.0,200,1,87.5155,100.9243,85.3399,85.8787,85.2754,87.3337,50.0,40.9001,49.9967,49.9128,50.0,49.9915,0
1,0.187702,0.091744,200,1,87.5255,100.9243,85.34,85.881,85.276,87.3269,50.0,40.8893,49.9971,49.9115,50.0,49.9912,0
2,0.283668,0.095966,200,1,87.5415,100.9191,85.3428,85.8807,85.279,87.3327,50.0,40.8971,49.9971,49.9111,50.0,49.9899,0
3,0.375677,0.092009,200,1,87.5313,100.9168,85.3457,85.8805,85.2771,87.3345,50.0,40.8971,49.9964,49.9111,50.0,49.9922,0
4,0.467708,0.092031,200,1,87.5159,100.9205,85.3393,85.8758,85.2782,87.3352,50.0,40.8981,49.9964,49.9108,50.0,49.9909,0
5,0.563663,0.095955,200,1,87.5169,100.9129,85.3395,85.8801,85.2742,87.333,50.0,40.9046,49.9971,49.9118,50.0,49.9906,0
6,0.655716,0.092053,0,-1,87.5318,100.9094,85.3367,85.8725,85.2798,87.333,50.0,40.9027,49.9961,49.9108,50.0,49.9906,0
7,0.747722,0.092007,0,-1,87.547,100.9124,85.3447,85.8779,85.2828,87.3327,50.0,40.9014,49.9967,49.9124,50.0,49.9925,0
8,0.843721,0.095998,0,-1,87.5257,100.906,85.3396,85.8755,85.274,87.3316,50.0,40.8978,49.9967,49.9115,50.0,49.9902,0
9,0.935699,0.091978,200,1,87.5132,100.8953,85.3356,85.8752,85.277,87.3284,50.0,40.8991,49.9971,49.9124,50.0,49.9899,0
