# started_utc=2025-11-04T11:27:19.811647Z
# rows=3
# cols=2
# threshold_init=30
# threshold_mode_init=global
t_iso,loop_idx,auto_mode,dn_state,profile,exposure_locked,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T11:27:25.751193Z,42,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:25.874435Z,43,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:25.998771Z,44,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:26.129158Z,45,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:26.262862Z,46,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:26.385269Z,47,1,0,Classroom,0,global,30,30,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:26.510749Z,48,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:26.632154Z,49,1,0,Classroom,0,global,30,30,44,30,46,64,59,18,46,1,3,3,3,3,3,0,3,3,3
2025-11-04T11:27:26.758027Z,50,1,0,Classroom,0,global,30,30,22,7,14,40,38,5,27,0,0,0,0,6,6,0,0,0,0
2025-11-04T11:27:26.880889Z,51,1,0,Classroom,0,global,30,30,14,5,8,25,23,3,20,0,0,0,0,3,3,0,0,0,0
2025-11-04T11:27:27.006437Z,52,1,0,Classroom,0,global,30,30,11,4,7,20,16,2,15,0,0,0,0,1,0,0,0,0,0
2025-11-04T11:27:27.133139Z,53,1,0,Classroom,0,global,30,30,10,4,7,19,15,2,14,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:27.258579Z,54,1,0,Classroom,0,global,30,30,9,3,6,17,14,2,14,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:27.381036Z,55,1,0,Classroom,0,global,30,30,9,4,6,16,13,2,13,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:27.506574Z,56,1,0,Classroom,0,global,30,30,9,3,6,17,14,2,14,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:27.629338Z,57,1,0,Classroom,0,global,30,30,10,4,6,17,14,2,14,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:27.755565Z,58,1,0,Classroom,0,global,30,30,9,4,6,17,14,2,13,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:27.875053Z,59,1,0,Classroom,0,global,30,30,12,5,8,23,20,2,15,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:27.995556Z,60,1,0,Classroom,0,global,30,30,92,86,92,96,94,96,91,3,3,3,3,3,3,3,3,3,3
2025-11-04T11:27:28.122498Z,61,1,0,Classroom,0,global,30,30,89,81,84,95,92,94,88,6,6,6,6,6,6,6,6,6,6
2025-11-04T11:27:28.240691Z,62,1,0,Classroom,0,global,30,30,80,65,68,86,90,89,83,9,9,9,9,9,9,9,9,9,9
2025-11-04T11:27:28.359074Z,63,1,0,Classroom,0,global,30,30,80,65,69,87,90,90,83,12,12,12,12,12,12,12,12,12,12
2025-11-04T11:27:28.480125Z,64,1,0,Classroom,0,global,30,30,80,64,68,87,89,91,84,15,15,15,15,15,15,15,15,15,15
2025-11-04T11:27:28.601030Z,65,1,0,Classroom,0,global,30,30,81,66,69,87,90,90,83,18,18,18,18,18,18,18,18,18,18
2025-11-04T11:27:28.721082Z,66,1,0,Classroom,0,global,30,30,55,26,34,77,64,71,56,21,21,21,21,21,21,21,21,21,21
2025-11-04T11:27:28.840568Z,67,1,0,Classroom,0,global,30,30,28,7,11,61,43,35,11,24,24,24,24,24,24,24,24,24,24
2025-11-04T11:27:28.959983Z,68,1,0,Classroom,0,global,30,30,17,5,8,38,31,12,5,27,27,27,27,27,27,27,27,27,27
2025-11-04T11:27:29.079254Z,69,1,0,Classroom,0,global,30,30,10,4,6,20,21,7,3,30,30,30,30,30,30,30,30,24,30
2025-11-04T11:27:29.200638Z,70,1,0,Classroom,0,global,30,30,7,4,4,12,15,4,2,33,33,30,33,33,33,33,33,21,32
2025-11-04T11:27:29.318166Z,71,1,0,Classroom,0,global,30,30,5,3,4,9,12,2,1,36,36,27,34,36,36,36,36,18,29
2025-11-04T11:27:29.439237Z,72,1,0,Classroom,0,global,30,30,4,3,3,6,9,2,1,39,39,24,31,39,39,39,38,15,26
2025-11-04T11:27:29.558146Z,73,1,0,Classroom,0,global,30,30,3,2,3,5,7,1,1,42,37,21,28,42,42,42,35,12,23
2025-11-04T11:27:29.678956Z,74,1,0,Classroom,0,global,30,30,3,2,3,4,6,1,1,45,34,18,25,45,45,42,32,9,20
2025-11-04T11:27:29.798556Z,75,1,0,Classroom,0,global,30,30,3,2,2,4,6,1,1,47,31,15,22,48,48,39,29,6,17
2025-11-04T11:27:29.918825Z,76,1,0,Classroom,0,global,30,30,3,2,2,5,7,1,1,44,28,12,19,51,51,36,26,3,14
2025-11-04T11:27:30.039473Z,77,1,0,Classroom,0,global,30,30,3,2,3,6,8,2,1,41,25,9,16,54,54,33,23,0,11
2025-11-04T11:27:30.158999Z,78,1,0,Classroom,0,global,30,30,4,3,3,7,9,2,1,38,22,6,13,54,52,30,20,0,8
2025-11-04T11:27:30.278167Z,79,1,0,Classroom,0,global,30,30,4,3,3,7,9,2,1,35,19,3,10,51,49,27,17,0,5
2025-11-04T11:27:30.398850Z,80,1,0,Classroom,0,global,30,30,4,3,3,7,10,3,1,32,16,0,7,48,46,24,14,0,2
2025-11-04T11:27:30.519096Z,81,1,0,Classroom,0,global,30,30,5,3,3,7,10,4,1,29,13,0,4,45,43,21,11,0,0
2025-11-04T11:27:30.640023Z,82,1,0,Classroom,0,global,30,30,5,3,3,8,11,5,1,26,10,0,1,42,40,18,8,0,0
2025-11-04T11:27:30.757523Z,83,1,0,Classroom,0,global,30,30,6,3,4,10,13,6,1,23,7,0,0,39,37,15,5,0,0
2025-11-04T11:27:30.878950Z,84,1,0,Classroom,0,global,30,30,7,4,4,11,15,7,2,20,4,0,0,36,34,12,2,0,0
2025-11-04T11:27:30.997842Z,85,1,0,Classroom,0,global,30,30,8,4,5,13,19,7,2,17,1,0,0,33,31,9,0,0,0
2025-11-04T11:27:31.121049Z,86,1,0,Classroom,0,global,30,30,9,4,5,16,21,8,3,14,0,0,0,30,28,6,0,0,0
2025-11-04T11:27:31.241468Z,87,1,0,Classroom,0,global,30,30,11,5,5,19,23,8,3,11,0,0,0,27,25,3,0,0,0
2025-11-04T11:27:31.363055Z,88,1,0,Classroom,0,global,30,30,11,5,6,21,25,9,3,8,0,0,0,24,22,0,0,0,0
2025-11-04T11:27:31.481396Z,89,1,0,Classroom,0,global,30,30,13,5,7,24,28,9,4,5,0,0,0,21,20,0,0,0,0
2025-11-04T11:27:31.603319Z,90,1,0,Classroom,0,global,30,30,14,6,7,28,30,10,4,2,0,0,0,18,20,0,0,0,0
2025-11-04T11:27:31.721448Z,91,1,0,Classroom,0,global,30,30,15,5,7,30,31,10,5,0,0,0,0,15,19,0,0,0,0
2025-11-04T11:27:31.842044Z,92,1,0,Classroom,0,global,30,30,14,5,7,28,30,10,5,0,0,0,0,12,19,0,0,0,0
2025-11-04T11:27:31.961503Z,93,1,0,Classroom,0,global,30,30,17,6,8,35,34,11,6,0,0,0,0,15,22,0,0,0,0
2025-11-04T11:27:32.083241Z,94,1,0,Classroom,0,global,30,30,19,6,9,43,37,13,7,0,0,0,0,18,25,0,0,0,0
2025-11-04T11:27:32.202135Z,95,1,0,Classroom,0,global,30,30,21,7,9,49,37,16,7,0,0,0,0,21,28,0,0,0,0
2025-11-04T11:27:32.323350Z,96,1,0,Classroom,0,global,30,30,24,7,10,58,39,22,8,0,0,0,0,24,31,0,0,0,0
2025-11-04T11:27:32.442565Z,97,1,0,Classroom,0,global,30,30,27,8,10,63,39,31,8,3,0,0,0,27,34,3,0,0,0
2025-11-04T11:27:32.562996Z,98,1,0,Classroom,0,global,30,30,22,7,9,54,36,20,6,0,0,0,0,30,33,0,0,0,0
2025-11-04T11:27:32.688126Z,99,1,0,Classroom,0,global,30,30,18,6,8,43,33,15,5,0,0,0,0,33,32,0,0,0,0
