t_s,u_cmd,y_dark_pct
1.329700171481818e-05,200.0,0.0
0.0930399259996193,200.0,12.097222222222221
0.18894179700146196,200.0,19.083333333333332
0.28085485200062976,0.0,12.756944444444446
0.37278385200261255,0.0,0.0
0.46874229600143735,0.0,0.0
0.5608787040000607,200.0,0.0
0.6528068330007955,200.0,12.256944444444445
0.7487770370025828,200.0,12.1875
0.8408745369997632,0.0,12.881944444444443
0.9367719809997652,0.0,0.0
1.0287991110017174,0.0,0.0
1.120932111000002,200.0,0.0
1.2167764069999976,200.0,12.07638888888889
1.3087913330018637,200.0,12.152777777777777
1.4008449249995465,200.0,12.166666666666668
1.4968073510026443,200.0,12.04861111111111
1.5888204620023316,200.0,12.090277777777777
1.6808529990012175,200.0,12.104166666666668
1.7768281099997694,200.0,11.958333333333334
1.8688261839997722,200.0,12.0
1.9609765360000893,0.0,2.4027777777777777
2.056807018001564,0.0,0.0
2.1488556469994364,0.0,0.0
2.2449307770002633,200.0,0.0
2.336841592001292,200.0,12.208333333333334
2.4288827029995446,200.0,11.895833333333334
2.5248452400010137,200.0,11.82638888888889
2.6168564060026256,200.0,12.118055555555555
2.7088964989998203,200.0,12.194444444444445
2.805213294999703,0.0,12.63888888888889
2.896875128000829,0.0,0.0
2.988902553999651,0.0,0.0
3.084875369000656,0.0,0.0
3.176904072999605,0.0,0.0
3.2736221280028985,0.0,0.0
3.365521980002086,0.0,0.0
3.4575486829999136,0.0,0.0
3.553521682999417,0.0,0.0
3.645543072001601,0.0,0.0
3.7375807570024335,0.0,0.0
3.833559350001451,0.0,0.0
3.9256112200018833,0.0,0.0
4.017630330999964,0.0,0.0
4.113587276002363,0.0,0.0
4.205713387000287,200.0,0.0
4.301571979001892,200.0,11.902777777777777
4.393578683000669,200.0,19.09722222222222
4.485616608999408,200.0,12.041666666666668
4.581566183001996,200.0,11.895833333333334
4.673591146001854,200.0,19.09722222222222
4.765769072000694,0.0,12.854166666666666
4.861617683000077,0.0,0.0
4.95360595999955,0.0,0.0
5.045637405000889,0.0,0.0
5.141608886002359,0.0,0.0
5.23362047900082,0.0,0.0
5.325810330999957,200.0,0.0
5.4216129050000745,200.0,19.07638888888889
5.51366744200277,200.0,19.01388888888889
5.609628923000855,200.0,12.069444444444443
5.701701682002749,200.0,11.92361111111111
5.793756959999882,200.0,11.909722222222221
5.889672108001832,200.0,19.09027777777778
5.98168633000023,200.0,19.03472222222222
6.073706830000447,200.0,19.104166666666668
6.169764403999579,200.0,11.930555555555555
6.261707052002748,200.0,11.916666666666668
6.353735441000026,200.0,11.82638888888889
6.449696682000649,200.0,11.965277777777777
6.541726719002327,200.0,19.11111111111111
6.637704033000773,200.0,19.125
6.7303235520012095,0.0,12.604166666666666
6.821836719002022,0.0,0.0
6.917719959001261,0.0,0.0
7.009892496000248,200.0,0.0
7.101769107001019,200.0,19.055555555555557
7.197727959002805,200.0,11.9375
7.289740514999721,200.0,11.98611111111111
7.3817482920021575,200.0,19.069444444444443
7.477730459002487,200.0,11.92361111111111
7.569763570001669,200.0,11.86111111111111
7.66571690300043,200.0,11.909722222222221
7.757783365999785,200.0,11.958333333333334
7.849948866001796,0.0,12.76388888888889
7.945759866001026,0.0,0.0
8.037774681000883,0.0,0.0
8.129804829000932,0.0,0.0
8.225765310002316,0.0,0.0
8.317771051002637,0.0,0.0
8.40982049500235,0.0,0.0
8.505776903002698,0.0,0.0
8.597791051000968,0.0,0.0
8.689864253999986,0.0,0.0
8.785798403001536,0.0,0.0
8.877831680001691,0.0,0.0
8.974296865002543,200.0,0.0
9.065800051001133,200.0,19.07638888888889
9.157849199000339,200.0,18.98611111111111
9.253954291001719,0.0,12.26388888888889
9.3458536979997,0.0,0.0
9.437883087000955,0.0,0.0
9.534008717000688,200.0,0.0
9.625953680002567,200.0,19.09722222222222
9.717918272002862,200.0,18.98611111111111
9.813892661000864,200.0,19.0625
9.905440345999523,200.0,19.07638888888889
10.001267217001441,200.0,18.979166666666668
10.093885031001264,200.0,19.07638888888889
10.18531708700175,200.0,19.055555555555557
10.281294272001105,200.0,19.0
10.373969716001739,0.0,12.625
10.465329493999889,0.0,0.0
10.561292067999602,0.0,0.0
10.65332077200219,0.0,0.0
10.745344735001709,0.0,0.0
10.8425181240018,0.0,0.0
10.93341684600091,200.0,0.0
11.02929362299983,200.0,19.125
11.121302160001505,200.0,19.020833333333336
11.213424307999958,0.0,12.88888888888889
11.309342827000364,0.0,0.0
11.401361438001913,0.0,0.0
11.493361938002636,0.0,0.0
11.58935349300009,0.0,0.0
11.681342345000303,0.0,0.0
11.773367011999653,0.0,0.0
11.869387345002906,0.0,0.0
11.961391234002804,0.0,0.0
