# timestamp: 20251101_195009
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HF2
# light_col: 2
# light_channel: 4
# duration_s: 12.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.187208,0.0,0,-1,88.854,110.748,85.9451,86.914,85.9114,90.0004,50.0,34.738,49.9977,49.9619,50.0,49.9115,0
1,0.37094,0.183732,0,-1,88.8587,110.7969,85.9487,86.9196,85.9296,90.1899,50.0,34.7171,49.9977,49.959,50.0,49.7871,0
2,0.558914,0.187974,0,-1,88.8835,111.084,85.9642,86.9501,85.8946,89.9878,50.0,34.5498,49.9984,49.9176,50.0,49.9131,0
3,0.746938,0.188024,0,-1,88.8623,110.7744,85.9503,86.9108,85.9376,90.2067,50.0,34.7503,49.9984,49.9603,50.0,49.738,0
4,0.934967,0.188028,0,-1,88.8548,110.591,85.9539,86.9105,85.9503,90.3235,50.0,34.8757,49.998,49.9639,50.0,49.6924,0
5,1.118972,0.184005,0,-1,88.8798,110.9125,85.9653,86.9334,85.9025,89.9969,50.0,34.6572,49.9984,49.9359,50.0,49.918,0
6,1.30702,0.188048,0,-1,88.8723,110.9213,85.9579,86.9218,85.9085,90.06,50.0,34.6624,49.9977,49.9518,50.0,49.8516,0
7,1.494977,0.187958,0,-1,88.8748,110.8892,85.9748,86.9363,85.8987,89.9874,50.0,34.6943,49.9977,49.9326,50.0,49.9167,0
8,1.67903,0.184052,0,-1,88.8634,110.8497,85.9678,86.9325,85.9074,90.0074,50.0,34.7686,49.999,49.9362,50.0,49.9137,0
9,1.867015,0.187985,200,1,88.8613,110.7356,85.9665,86.9199,85.9402,90.217,50.0,34.8988,49.998,49.9486,50.0,49.7386,0
10,2.05503,0.188015,200,1,95.5655,117.8902,89.2642,91.933,97.5209,138.513,48.8457,21.7067,49.7923,49.0941,44.7031,18.1475,0
11,2.243002,0.187972,200,1,95.5803,118.0367,89.2291,91.8978,97.4542,138.4107,48.792,21.5661,49.7959,49.1126,44.7266,18.2324,0
12,2.427024,0.184022,0,-1,95.5208,117.8462,89.2282,91.8715,97.4989,138.7172,48.847,21.791,49.7878,49.1243,44.6729,18.029,0
13,2.615031,0.188007,0,-1,88.8811,111.0344,85.9721,86.9573,85.9102,90.004,50.0,34.6683,49.9977,49.904,50.0,49.9111,0
14,2.803038,0.188007,0,-1,88.8535,110.7197,85.9375,86.9163,85.9528,90.3224,50.0,34.8291,49.9977,49.9661,50.0,49.6882,0
15,2.991024,0.187985,0,-1,88.8677,110.7909,85.9515,86.9011,85.962,90.3638,50.0,34.8232,49.998,49.9629,50.0,49.6406,0
16,3.175062,0.184038,0,-1,88.8597,110.6197,85.9457,86.9076,85.9161,90.0737,50.0,34.9098,49.9993,49.9661,50.0,49.8561,0
17,3.363074,0.188013,0,-1,88.8666,110.7964,85.9537,86.915,85.9344,90.1518,50.0,34.8206,49.9974,49.9476,50.0,49.7897,0
18,3.551081,0.188007,0,-1,88.864,110.8295,85.9633,86.9235,85.899,89.9828,50.0,34.8206,49.9977,49.9375,50.0,49.9124,0
19,3.735152,0.184071,0,-1,88.8774,110.9059,85.9694,86.9519,85.9142,89.9981,50.0,34.7689,49.9984,49.9189,50.0,49.9134,0
