# timestamp: 20251101_165326
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10
# stimulus: rand_telegraph
# low: 0
# high: 16
# hold_frames: 3
# test_light: HS22
# duration_s: 12.0
# dark_thresh: 75
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,y_metric,y_mean,y_std,y_p10,y_p90,sat_lo_pct,sat_hi_pct,frame_drop
0,0.091268,0.0,0,-1,0.0,92.37,11.947,85.0,105.0,0.0,0.0,0
1,0.183256,0.091988,0,-1,0.0,87.223,5.937,84.0,90.0,0.0,0.0,0
2,0.278953,0.095697,0,-1,0.0,87.222,5.936,84.0,90.0,0.0,0.0,0
3,0.370963,0.09201,16,1,0.0,87.223,5.934,84.0,90.0,0.0,0.0,0
4,0.463,0.092037,16,1,0.0,87.244,5.93,84.0,90.0,0.0,0.0,0
5,0.558957,0.095958,16,1,0.0,90.839,9.761,85.0,100.0,0.0,0.0,0
6,0.650986,0.092029,0,-1,0.0,90.839,9.767,85.0,100.0,0.0,0.0,0
7,0.743031,0.092045,0,-1,0.0,89.101,7.369,84.0,96.0,0.0,0.0,0
8,0.838979,0.095948,0,-1,0.0,87.225,5.929,84.0,90.0,0.0,0.0,0
9,0.931008,0.09203,16,1,0.0,87.225,5.93,84.0,90.0,0.0,0.0,0
10,1.026965,0.095957,16,1,0.0,87.249,5.94,84.0,90.0,0.0,0.0,0
11,1.118998,0.092032,16,1,0.0,90.84,9.761,85.0,100.0,0.0,0.0,0
12,1.211029,0.092031,0,-1,0.0,90.843,9.763,85.0,100.0,0.0,0.0,0
13,1.306986,0.095957,0,-1,0.0,88.968,7.217,84.0,96.0,0.0,0.0,0
14,1.399017,0.092031,0,-1,0.0,87.227,5.931,84.0,90.0,0.0,0.0,0
15,1.491044,0.092028,16,1,0.0,87.232,5.936,84.0,90.0,0.0,0.0,0
16,1.587009,0.095965,16,1,0.0,87.254,5.938,84.0,90.0,0.0,0.0,0
17,1.679051,0.092041,16,1,0.0,90.848,9.763,85.0,100.0,0.0,0.0,0
18,1.771071,0.092021,16,1,0.0,90.851,9.767,85.0,100.1,0.0,0.0,0
19,1.86704,0.095968,16,1,0.0,90.854,9.764,85.0,100.0,0.0,0.0,0
20,1.959045,0.092005,16,1,0.0,90.85,9.762,85.0,101.0,0.0,0.0,0
21,2.05503,0.095985,0,-1,0.0,90.855,9.768,85.0,101.0,0.0,0.0,0
22,2.147037,0.092007,0,-1,0.0,89.621,8.037,84.0,98.0,0.0,0.0,0
23,2.239079,0.092042,0,-1,0.0,87.24,5.935,84.0,90.0,0.0,0.0,0
24,2.335048,0.095969,0,-1,0.0,87.24,5.937,84.0,90.0,0.0,0.0,0
25,2.427058,0.09201,0,-1,0.0,87.238,5.941,84.0,90.0,0.0,0.0,0
26,2.519098,0.09204,0,-1,0.0,87.241,5.944,84.0,90.0,0.0,0.0,0
27,2.615055,0.095957,16,1,0.0,87.247,5.94,84.0,90.0,0.0,0.0,0
28,2.707091,0.092036,16,1,0.0,87.258,5.937,84.0,90.0,0.0,0.0,0
29,2.799113,0.092022,16,1,0.0,90.863,9.772,85.0,101.0,0.0,0.0,0
30,2.895072,0.095959,0,-1,0.0,90.86,9.771,85.0,101.0,0.0,0.0,0
31,2.987094,0.092022,0,-1,0.0,89.41,7.752,84.0,97.0,0.0,0.0,0
32,3.079155,0.092061,0,-1,0.0,87.246,5.943,84.0,90.0,0.0,0.0,0
33,3.175099,0.095944,16,1,0.0,87.245,5.944,84.0,90.0,0.0,0.0,0
34,3.267121,0.092022,16,1,0.0,87.27,5.946,84.0,90.0,0.0,0.0,0
35,3.363091,0.09597,16,1,0.0,90.863,9.775,85.0,100.1,0.0,0.0,0
36,3.455112,0.092021,0,-1,0.0,90.861,9.777,85.0,100.0,0.0,0.0,0
37,3.547138,0.092026,0,-1,0.0,89.265,7.57,84.0,97.0,0.0,0.0,0
38,3.643114,0.095976,0,-1,0.0,87.251,5.952,84.0,90.0,0.0,0.0,0
39,3.735138,0.092024,16,1,0.0,87.248,5.955,84.0,90.0,0.0,0.0,0
40,3.827163,0.092025,16,1,0.0,87.273,5.949,84.0,90.0,0.0,0.0,0
41,3.92314,0.095977,16,1,0.0,90.867,9.777,85.0,100.0,0.0,0.0,0
42,4.015153,0.092013,0,-1,0.0,90.868,9.787,85.0,101.0,0.0,0.0,0
43,4.10718,0.092028,0,-1,0.0,89.135,7.401,84.0,96.0,0.0,0.0,0
44,4.203129,0.095949,0,-1,0.0,87.251,5.964,84.0,90.0,0.0,0.0,0
45,4.295178,0.092049,16,1,0.0,87.253,5.956,84.0,90.0,0.0,0.0,0
46,4.391141,0.095963,16,1,0.0,87.273,5.964,84.0,90.0,0.0,0.0,0
47,4.483162,0.092021,16,1,0.0,90.868,9.789,85.0,100.0,0.0,0.0,0
48,4.575191,0.092029,0,-1,0.0,90.872,9.785,85.0,101.0,0.0,0.0,0
49,4.671197,0.096007,0,-1,0.0,88.982,7.217,84.0,96.0,0.0,0.0,0
50,4.763199,0.092002,0,-1,0.0,87.255,5.974,84.0,90.0,0.0,0.0,0
51,4.855239,0.09204,16,1,0.0,87.254,5.971,84.0,90.0,0.0,0.0,0
52,4.951197,0.095957,16,1,0.0,87.282,5.97,84.0,90.0,0.0,0.0,0
53,5.043235,0.092038,16,1,0.0,90.876,9.794,85.0,101.0,0.0,0.0,0
54,5.13526,0.092025,0,-1,0.0,90.884,9.801,85.0,101.0,0.0,0.0,0
55,5.231218,0.095958,0,-1,0.0,89.085,7.351,84.0,96.0,0.0,0.0,0
56,5.323249,0.092031,0,-1,0.0,87.264,5.985,84.0,90.0,0.0,0.0,0
57,5.419219,0.09597,0,-1,0.0,87.27,5.99,84.0,90.0,0.0,0.0,0
58,5.511249,0.092029,0,-1,0.0,87.264,5.991,84.0,90.0,0.0,0.0,0
59,5.603264,0.092016,0,-1,0.0,87.268,5.999,84.0,90.0,0.0,0.0,0
60,5.699273,0.096008,0,-1,0.0,87.262,5.995,84.0,90.0,0.0,0.0,0
61,5.791323,0.09205,0,-1,0.0,87.264,5.995,84.0,90.0,0.0,0.0,0
62,5.883318,0.091995,0,-1,0.0,87.27,6.003,84.0,90.0,0.0,0.0,0
63,5.979277,0.095959,16,1,0.0,87.272,6.001,84.0,90.0,0.0,0.0,0
64,6.071283,0.092006,16,1,0.0,87.289,5.995,84.0,90.0,0.0,0.0,0
65,6.163323,0.09204,16,1,0.0,90.882,9.806,85.0,101.0,0.0,0.0,0
66,6.259284,0.095961,16,1,0.0,90.89,9.811,85.0,101.0,0.0,0.0,0
67,6.351293,0.092009,16,1,0.0,90.891,9.807,85.0,101.0,0.0,0.0,0
68,6.443358,0.092065,16,1,0.0,90.885,9.804,85.0,101.0,0.0,0.0,0
69,6.539296,0.095938,16,1,0.0,90.886,9.809,85.0,101.0,0.0,0.0,0
70,6.631332,0.092036,16,1,0.0,90.885,9.812,85.0,101.0,0.0,0.0,0
71,6.727314,0.095982,16,1,0.0,90.885,9.803,85.0,101.0,0.0,0.0,0
72,6.819326,0.092011,0,-1,0.0,90.885,9.81,85.0,101.0,0.0,0.0,0
73,6.911363,0.092037,0,-1,0.0,89.545,7.94,84.0,97.0,0.0,0.0,0
74,7.007319,0.095956,0,-1,0.0,87.27,6.008,84.0,90.0,0.0,0.0,0
75,7.099336,0.092017,16,1,0.0,87.275,6.014,84.0,90.0,0.0,0.0,0
76,7.191361,0.092025,16,1,0.0,87.294,6.009,84.0,90.0,0.0,0.0,0
77,7.287335,0.095975,16,1,0.0,90.89,9.812,85.0,101.0,0.0,0.0,0
78,7.379344,0.092008,0,-1,0.0,90.892,9.82,85.0,101.0,0.0,0.0,0
79,7.471383,0.092039,0,-1,0.0,89.374,7.726,84.0,97.0,0.0,0.0,0
80,7.567346,0.095963,0,-1,0.0,87.285,6.014,84.0,90.0,0.0,0.0,0
81,7.65938,0.092034,0,-1,0.0,87.284,6.003,84.0,90.0,0.0,0.0,0
82,7.755365,0.095985,0,-1,0.0,87.287,6.013,84.0,90.0,0.0,0.0,0
83,7.847361,0.091996,0,-1,0.0,87.275,6.016,84.0,90.0,0.0,0.0,0
84,7.939447,0.092086,0,-1,0.0,87.283,6.005,84.0,90.0,0.0,0.0,0
85,8.0354,0.095953,0,-1,0.0,87.291,6.013,84.0,90.0,0.0,0.0,0
86,8.127387,0.091987,0,-1,0.0,87.301,6.053,84.0,90.0,0.0,0.0,0
87,8.21942,0.092033,0,-1,0.0,87.306,6.094,84.0,90.0,0.0,0.0,0
88,8.315381,0.095962,0,-1,0.0,87.307,6.107,84.0,90.0,0.0,0.0,0
89,8.407398,0.092017,0,-1,0.0,87.306,6.102,84.0,90.0,0.0,0.0,0
90,8.499433,0.092035,0,-1,0.0,87.307,6.096,84.0,90.0,0.0,0.0,0
91,8.595388,0.095955,0,-1,0.0,87.306,6.094,84.0,90.0,0.0,0.0,0
92,8.687443,0.092054,0,-1,0.0,87.312,6.129,84.0,90.0,0.0,0.0,0
93,8.783401,0.095958,16,1,0.0,87.322,6.188,84.0,90.0,0.0,0.0,0
94,8.87541,0.092009,16,1,0.0,87.356,6.239,84.0,90.0,0.0,0.0,0
95,8.967452,0.092042,16,1,0.0,90.958,9.952,85.0,101.0,0.0,0.0,0
96,9.063422,0.095971,0,-1,0.0,90.958,9.959,85.0,101.0,0.0,0.0,0
97,9.155427,0.092004,0,-1,0.0,89.854,8.44,84.0,98.0,0.0,0.0,0
98,9.247467,0.092041,0,-1,0.0,87.346,6.272,84.0,90.0,0.0,0.0,0
99,9.34343,0.095963,16,1,0.0,87.354,6.288,84.0,90.0,0.0,0.0,0
100,9.435446,0.092015,16,1,0.0,87.37,6.298,84.0,90.0,0.0,0.0,0
101,9.527492,0.092046,16,1,0.0,90.965,9.98,85.0,101.0,0.0,0.0,0
102,9.623443,0.095951,16,1,0.0,90.963,9.979,85.0,101.0,0.0,0.0,0
103,9.715478,0.092035,16,1,0.0,90.97,9.975,85.0,101.0,0.0,0.0,0
104,9.807572,0.092094,16,1,0.0,90.963,9.972,85.0,101.0,0.0,0.0,0
105,9.903465,0.095893,0,-1,0.0,90.968,9.967,85.0,101.0,0.0,0.0,0
106,9.995502,0.092037,0,-1,0.0,89.628,8.147,84.0,98.0,0.0,0.0,0
107,10.091477,0.095975,0,-1,0.0,87.35,6.28,84.0,90.0,0.0,0.0,0
108,10.183489,0.092012,0,-1,0.0,87.359,6.272,84.0,90.0,0.0,0.0,0
109,10.275518,0.092029,0,-1,0.0,87.353,6.274,84.0,90.0,0.0,0.0,0
110,10.371478,0.095961,0,-1,0.0,87.348,6.284,84.0,90.0,0.0,0.0,0
111,10.463499,0.092021,0,-1,0.0,87.354,6.283,84.0,90.0,0.0,0.0,0
112,10.555582,0.092083,0,-1,0.0,87.358,6.28,84.0,91.0,0.0,0.0,0
113,10.651515,0.095933,0,-1,0.0,87.349,6.271,84.0,91.0,0.0,0.0,0
114,10.743536,0.09202,16,1,0.0,87.356,6.274,84.0,91.0,0.0,0.0,0
115,10.835566,0.092031,16,1,0.0,87.372,6.268,84.0,90.0,0.0,0.0,0
116,10.931536,0.09597,16,1,0.0,90.963,9.967,85.0,101.0,0.0,0.0,0
117,11.02358,0.092043,0,-1,0.0,90.966,9.959,85.0,101.0,0.0,0.0,0
118,11.119516,0.095936,0,-1,0.0,89.394,7.838,84.0,97.0,0.0,0.0,0
119,11.211531,0.092015,0,-1,0.0,87.353,6.262,84.0,90.0,0.0,0.0,0
120,11.303583,0.092052,16,1,0.0,87.351,6.261,84.0,90.0,0.0,0.0,0
121,11.399594,0.096012,16,1,0.0,87.376,6.263,84.0,91.0,0.0,0.0,0
122,11.491566,0.091971,16,1,0.0,90.967,9.964,85.0,101.0,0.0,0.0,0
123,11.583651,0.092085,0,-1,0.0,90.967,9.968,85.0,101.0,0.0,0.0,0
124,11.679551,0.0959,0,-1,0.0,89.257,7.682,84.0,97.0,0.0,0.0,0
125,11.771552,0.092001,0,-1,0.0,87.352,6.274,84.0,91.0,0.0,0.0,0
126,11.863575,0.092023,0,-1,0.0,87.351,6.277,84.0,90.1,0.0,0.0,0
127,11.959532,0.095956,0,-1,0.0,87.355,6.28,84.0,91.0,0.0,0.0,0
128,12.051565,0.092034,0,-1,0.0,87.349,6.286,84.0,90.0,0.0,0.0,0
129,12.147536,0.095971,0,-1,0.0,87.358,6.287,84.0,90.0,0.0,0.0,0
130,12.239564,0.092028,0,-1,0.0,87.355,6.294,84.0,90.0,0.0,0.0,0
131,12.331588,0.092024,0,-1,0.0,87.36,6.3,84.0,90.0,0.0,0.0,0
132,12.427564,0.095976,16,1,0.0,87.372,6.307,84.0,90.0,0.0,0.0,0
133,12.519561,0.091997,16,1,0.0,87.386,6.302,84.0,91.0,0.0,0.0,0
134,12.61163,0.092069,16,1,0.0,90.975,9.989,85.0,101.0,0.0,0.0,0
135,12.707595,0.095965,0,-1,0.0,90.979,9.997,85.0,101.0,0.0,0.0,0
136,12.799605,0.092009,0,-1,0.0,89.602,8.116,84.0,98.0,0.0,0.0,0
137,12.891644,0.09204,0,-1,0.0,87.368,6.312,84.0,90.0,0.0,0.0,0
138,12.987594,0.095949,0,-1,0.0,87.364,6.31,84.0,90.0,0.0,0.0,0
139,13.07963,0.092036,0,-1,0.0,87.364,6.31,84.0,91.0,0.0,0.0,0
140,13.171682,0.092052,0,-1,0.0,87.368,6.31,84.0,90.0,0.0,0.0,0
141,13.267616,0.095934,0,-1,0.0,87.367,6.306,84.0,90.0,0.0,0.0,0
142,13.359655,0.092039,0,-1,0.0,87.365,6.31,84.0,90.0,0.0,0.0,0
143,13.455616,0.095961,0,-1,0.0,87.363,6.315,84.0,90.0,0.0,0.0,0
144,13.547639,0.092023,0,-1,0.0,87.37,6.314,84.0,90.0,0.0,0.0,0
145,13.639681,0.092042,0,-1,0.0,87.368,6.311,84.0,90.0,0.0,0.0,0
146,13.735646,0.095965,0,-1,0.0,87.369,6.319,84.0,90.0,0.0,0.0,0
147,13.827659,0.092013,16,1,0.0,87.372,6.32,84.0,90.0,0.0,0.0,0
148,13.919671,0.092012,16,1,0.0,87.388,6.317,84.0,91.0,0.0,0.0,0
149,14.015662,0.095991,16,1,0.0,90.984,9.991,85.0,101.0,0.0,0.0,0
150,14.107675,0.092013,0,-1,0.0,90.989,9.994,85.0,101.0,0.0,0.0,0
151,14.199695,0.09202,0,-1,0.0,89.229,7.665,84.0,96.0,0.0,0.0,0
152,14.295673,0.095979,0,-1,0.0,87.37,6.318,84.0,91.0,0.0,0.0,0
153,14.387704,0.092031,0,-1,0.0,87.367,6.306,84.0,91.0,0.0,0.0,0
154,14.483654,0.095949,0,-1,0.0,87.374,6.317,84.0,91.0,0.0,0.0,0
155,14.575696,0.092042,0,-1,0.0,87.375,6.316,84.0,91.0,0.0,0.0,0
156,14.667712,0.092016,16,1,0.0,87.375,6.315,84.0,91.0,0.0,0.0,0
157,14.763746,0.096035,16,1,0.0,87.392,6.309,84.0,91.0,0.0,0.0,0
158,14.855717,0.091971,16,1,0.0,90.989,9.996,85.0,101.0,0.0,0.0,0
159,14.947754,0.092037,0,-1,0.0,90.994,9.997,85.0,101.0,0.0,0.0,0
160,15.0437,0.095946,0,-1,0.0,89.024,7.418,84.0,96.0,0.0,0.0,0
161,15.135721,0.092021,0,-1,0.0,87.382,6.325,84.0,91.0,0.0,0.0,0
162,15.227758,0.092037,16,1,0.0,87.377,6.335,84.0,91.0,0.0,0.0,0
163,15.323709,0.095951,16,1,0.0,87.411,6.344,84.0,91.0,0.0,0.0,0
164,15.41574,0.092031,16,1,0.0,90.998,10.023,85.0,101.0,0.0,0.0,0
165,15.511712,0.095972,0,-1,0.0,91.008,10.051,85.0,101.0,0.0,0.0,0
166,15.603715,0.092002,0,-1,0.0,89.752,8.383,84.0,98.0,0.0,0.0,0
167,15.695795,0.09208,0,-1,0.0,87.412,6.49,84.0,91.0,0.0,0.0,0
168,15.791745,0.09595,16,1,0.0,87.417,6.504,84.0,91.0,0.0,0.0,0
169,15.883753,0.092008,16,1,0.0,87.442,6.52,84.0,91.0,0.0,0.0,0
170,15.975789,0.092037,16,1,0.0,91.037,10.121,85.0,101.0,0.0,0.0,0
171,16.071759,0.09597,0,-1,0.0,91.044,10.129,85.0,101.0,0.0,0.0,0
172,16.163767,0.092008,0,-1,0.0,89.654,8.281,84.0,98.0,0.0,0.0,0
173,16.255804,0.092037,0,-1,0.0,87.434,6.562,84.0,91.0,0.0,0.0,0
174,16.351777,0.095973,0,-1,0.0,87.442,6.567,84.0,91.0,0.0,0.0,0
175,16.443784,0.092007,0,-1,0.0,87.44,6.573,84.0,91.0,0.0,0.0,0
176,16.535847,0.092063,0,-1,0.0,87.436,6.577,84.0,91.0,0.0,0.0,0
177,16.63179,0.095943,16,1,0.0,87.434,6.575,84.0,91.0,0.0,0.0,0
178,16.723862,0.092073,16,1,0.0,87.458,6.582,84.0,91.0,0.0,0.0,0
179,16.819807,0.095945,16,1,0.0,91.049,10.145,85.0,101.0,0.0,0.0,0
180,16.911833,0.092026,16,1,0.0,91.044,10.149,85.0,101.0,0.0,0.0,0
181,17.003906,0.092073,16,1,0.0,91.041,10.143,85.0,101.0,0.0,0.0,0
182,17.099849,0.095943,16,1,0.0,91.046,10.14,85.0,101.0,0.0,0.0,0
183,17.191859,0.09201,0,-1,0.0,91.047,10.132,85.0,101.0,0.0,0.0,0
184,17.283881,0.092022,0,-1,0.0,89.605,8.222,84.0,98.0,0.0,0.0,0
185,17.379863,0.095982,0,-1,0.0,87.432,6.558,84.0,91.0,0.0,0.0,0
186,17.471875,0.092011,16,1,0.0,87.44,6.559,84.0,91.0,0.0,0.0,0
187,17.563903,0.092028,16,1,0.0,87.459,6.557,84.0,91.0,0.0,0.0,0
188,17.659866,0.095963,16,1,0.0,91.051,10.146,85.0,101.0,0.0,0.0,0
189,17.751932,0.092066,16,1,0.0,91.05,10.141,85.0,101.0,0.0,0.0,0
190,17.847877,0.095945,16,1,0.0,91.048,10.135,85.0,101.0,0.0,0.0,0
191,17.9399,0.092023,16,1,0.0,91.05,10.145,85.0,101.0,0.0,0.0,0
192,18.031927,0.092028,16,1,0.0,91.05,10.148,85.0,101.0,0.0,0.0,0
193,18.127888,0.09596,16,1,0.0,91.052,10.149,85.0,101.0,0.0,0.0,0
194,18.219896,0.092008,16,1,0.0,91.055,10.151,85.0,101.0,0.0,0.0,0
195,18.311924,0.092028,16,1,0.0,91.06,10.163,85.0,101.0,0.0,0.0,0
196,18.407914,0.09599,16,1,0.0,91.062,10.172,85.0,101.0,0.0,0.0,0
197,18.49993,0.092016,16,1,0.0,91.065,10.198,85.0,101.0,0.0,0.0,0
198,18.591957,0.092027,16,1,0.0,91.066,10.196,85.0,101.0,0.0,0.0,0
199,18.687947,0.09599,16,1,0.0,91.068,10.208,85.0,101.0,0.0,0.0,0
200,18.77996,0.092012,16,1,0.0,91.072,10.211,85.0,101.0,0.0,0.0,0
201,18.875921,0.095961,0,-1,0.0,91.072,10.209,85.0,101.0,0.0,0.0,0
202,18.967937,0.092017,0,-1,0.0,90.017,8.801,84.0,99.0,0.0,0.0,0
203,19.059964,0.092027,0,-1,0.0,87.461,6.685,84.0,91.0,0.0,0.0,0
204,19.155929,0.095965,16,1,0.0,87.462,6.692,84.0,91.0,0.0,0.0,0
205,19.247949,0.09202,16,1,0.0,87.488,6.689,84.0,91.0,0.0,0.0,0
206,19.339989,0.09204,16,1,0.0,91.078,10.218,85.0,101.0,0.0,0.0,0
207,19.435929,0.09594,0,-1,0.0,91.078,10.224,85.0,101.0,0.0,0.0,0
208,19.527948,0.092018,0,-1,0.0,89.891,8.644,84.0,99.0,0.0,0.0,0
209,19.619976,0.092028,0,-1,0.0,87.475,6.697,84.0,91.0,0.0,0.0,0
210,19.715972,0.095997,16,1,0.0,87.468,6.693,84.0,91.0,0.0,0.0,0
211,19.80797,0.091997,16,1,0.0,87.487,6.69,84.0,91.0,0.0,0.0,0
212,19.903959,0.095989,16,1,0.0,91.078,10.222,85.0,101.0,0.0,0.0,0
213,19.995996,0.092038,0,-1,0.0,91.072,10.219,85.0,101.0,0.0,0.0,0
214,20.088015,0.092019,0,-1,0.0,89.771,8.493,84.0,98.0,0.0,0.0,0
215,20.183968,0.095953,0,-1,0.0,87.467,6.689,84.0,91.0,0.0,0.0,0
216,20.275987,0.092019,0,-1,0.0,87.467,6.688,84.0,91.0,0.0,0.0,0
217,20.368012,0.092024,0,-1,0.0,87.467,6.69,84.0,91.0,0.0,0.0,0
218,20.463984,0.095972,0,-1,0.0,87.464,6.689,84.0,91.0,0.0,0.0,0
219,20.556,0.092017,16,1,0.0,87.469,6.696,84.0,91.0,0.0,0.0,0
220,20.648042,0.092042,16,1,0.0,87.495,6.69,84.0,91.0,0.0,0.0,0
221,20.74402,0.095978,16,1,0.0,91.08,10.214,85.0,101.0,0.0,0.0,0
222,20.836019,0.091999,16,1,0.0,91.077,10.218,85.0,101.0,0.0,0.0,0
223,20.92807,0.092051,16,1,0.0,91.081,10.212,85.0,101.0,0.0,0.0,0
224,21.024024,0.095954,16,1,0.0,91.08,10.215,85.0,101.0,0.0,0.0,0
225,21.116069,0.092045,0,-1,0.0,91.075,10.206,85.0,101.0,0.0,0.0,0
226,21.212014,0.095945,0,-1,0.0,89.49,8.152,84.0,97.0,0.0,0.0,0
227,21.30403,0.092017,0,-1,0.0,87.473,6.681,84.0,91.0,0.0,0.0,0
228,21.396082,0.092052,0,-1,0.0,87.473,6.684,84.0,91.0,0.0,0.0,0
229,21.492042,0.09596,0,-1,0.0,87.472,6.682,84.0,91.0,0.0,0.0,0
230,21.584055,0.092013,0,-1,0.0,87.472,6.686,84.0,91.0,0.0,0.0,0
231,21.676117,0.092061,0,-1,0.0,87.473,6.692,84.0,91.0,0.0,0.0,0
232,21.772065,0.095949,0,-1,0.0,87.479,6.697,84.0,91.0,0.0,0.0,0
233,21.864077,0.092011,0,-1,0.0,87.476,6.697,84.0,91.0,0.0,0.0,0
234,21.956115,0.092038,16,1,0.0,87.481,6.701,84.0,91.0,0.0,0.0,0
235,22.052067,0.095952,16,1,0.0,87.499,6.698,84.0,91.0,0.0,0.0,0
236,22.144117,0.09205,16,1,0.0,91.087,10.233,85.0,101.0,0.0,0.0,0
237,22.240074,0.095957,16,1,0.0,91.094,10.23,85.0,101.0,0.0,0.0,0
238,22.332089,0.092015,16,1,0.0,91.086,10.228,85.0,101.0,0.0,0.0,0
239,22.424123,0.092034,16,1,0.0,91.089,10.23,85.0,101.0,0.0,0.0,0
