# timestamp: 20251101_165724
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HS22
# duration_s: 5.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,y_metric,y_mean,y_std,y_p10,y_p90,sat_lo_pct,sat_hi_pct,frame_drop
0,0.091287,0.0,200,1,75.9514,88.78,8.656,84.0,93.0,0.0,0.0,0
1,0.18344,0.092153,200,1,30.3056,107.812,26.481,86.0,144.0,0.0,0.0,0
2,0.27945,0.09601,200,1,30.2708,107.834,26.502,86.0,144.0,0.0,0.0,0
3,0.371316,0.091865,200,1,30.3403,107.846,26.518,86.0,144.0,0.0,0.0,0
4,0.463456,0.09214,200,1,30.3194,107.856,26.535,86.0,144.0,0.0,0.0,0
5,0.559195,0.095739,200,1,30.1944,107.867,26.532,86.0,144.0,0.0,0.0,0
6,0.651208,0.092014,0,-1,30.2569,107.868,26.542,86.0,144.0,0.0,0.0,0
7,0.743237,0.092029,0,-1,30.8472,107.129,26.159,86.0,143.0,0.0,0.0,0
8,0.839215,0.095978,0,-1,77.9653,88.749,9.088,84.0,93.0,0.0,0.0,0
9,0.931265,0.09205,0,-1,77.8889,88.755,9.087,84.0,93.0,0.0,0.0,0
10,1.027221,0.095956,0,-1,77.8403,88.751,9.071,84.0,93.0,0.0,0.0,0
11,1.119234,0.092013,0,-1,77.8472,88.751,9.081,84.0,93.0,0.0,0.0,0
12,1.211264,0.09203,200,1,77.9167,88.752,9.104,84.0,93.0,0.0,0.0,0
13,1.307219,0.095955,200,1,75.6458,88.921,9.124,84.0,93.0,0.0,0.0,0
14,1.399243,0.092025,200,1,30.2083,107.894,26.556,86.0,145.0,0.0,0.0,0
15,1.491276,0.092033,0,-1,30.2361,107.887,26.556,86.0,145.0,0.0,0.0,0
16,1.587256,0.09598,0,-1,31.0625,106.976,26.066,86.0,143.0,0.0,0.0,0
17,1.67926,0.092004,0,-1,77.8611,88.762,9.144,84.0,93.0,0.0,0.0,0
18,1.771299,0.092039,0,-1,77.8889,88.761,9.139,84.0,93.0,0.0,0.0,0
19,1.867258,0.095959,0,-1,77.8194,88.763,9.134,84.0,93.0,0.0,0.0,0
20,1.95928,0.092022,0,-1,77.875,88.764,9.149,84.0,93.0,0.0,0.0,0
21,2.051338,0.092059,200,1,77.8611,88.771,9.162,84.0,93.0,0.0,0.0,0
22,2.147278,0.09594,200,1,75.5903,88.929,9.167,84.0,93.0,0.0,0.0,0
