# started_utc=2025-11-04T12:49:47.041202Z
# rows=3
# cols=2
# PID_Kp=1.2
# PID_Ki=2.4
# PID_Kd=0.045
# time_notes=t_iso_utc is UTC; t_unix_s is epoch seconds; monotonic_ns is high-res monotonic clock
t_iso_utc,t_unix_s,monotonic_ns,loop_dt_ms,frame_dt_ms,loop_idx,auto_mode,dn_state,profile,exposure_locked,exposure_ms,exposure_gain,PID_Kp,PID_Ki,PID_Kd,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T12:49:49.364841Z,1762260589.364851,16831067003577,67.770445,68.338945,26,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,3,3,3,3,3,4,4,4,4
2025-11-04T12:49:49.439485Z,1762260589.439494,16831141322484,74.318907,74.666018,27,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,1,0,0,0,0,0,1,1,1,1
2025-11-04T12:49:49.516358Z,1762260589.516369,16831218365632,77.043148,76.697037,28,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:49.592928Z,1762260589.592938,16831295719354,77.353722,76.686667,29,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:49.669293Z,1762260589.669303,16831371340595,75.621241,76.239574,30,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:49.739726Z,1762260589.739737,16831442522910,71.182315,70.579352,31,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,2,2,2,2,2,2,2,2,2,2
2025-11-04T12:49:49.811349Z,1762260589.811360,16831513492539,70.969629,71.584277,32,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,2,2,2,2,1,2,2,2,2,2
2025-11-04T12:49:49.878694Z,1762260589.878704,16831581467928,67.975389,67.377834,33,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,3,4,4,4,4,4
2025-11-04T12:49:49.948256Z,1762260589.948266,16831650385984,68.918056,69.51824,34,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:49:50.017783Z,1762260590.017793,16831720580224,70.19424,69.476204,35,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,3,3,3,2,3,3,3,3,3
2025-11-04T12:49:50.087515Z,1762260590.087525,16831789789169,69.208945,69.838926,36,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,3,3,3,2,3,3,3,3,3
2025-11-04T12:49:50.156186Z,1762260590.156196,16831859020521,69.231352,68.686092,37,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:49:50.226429Z,1762260590.226444,16831927772076,68.751555,70.065852,38,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,2,3,3,2,2,3,3,3,3
2025-11-04T12:49:50.304101Z,1762260590.304111,16832004996669,77.224593,77.807815,39,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:50.379570Z,1762260590.379586,16832080560150,75.563481,75.304574,40,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:50.455873Z,1762260590.455883,16832158107539,77.547389,76.473389,41,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:50.530261Z,1762260590.530277,16832232480631,74.373092,74.308166,42,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:50.602992Z,1762260590.603007,16832302866780,70.386149,72.721686,43,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,1,1,1,1,1,1,1,1,1,1
2025-11-04T12:49:50.675272Z,1762260590.675282,16832377360520,74.49374,72.33787,44,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,0,1,1,1,1,1,1,1,1,1,1
2025-11-04T12:49:50.751251Z,1762260590.751261,16832454254242,76.893722,76.02037,45,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:50.825605Z,1762260590.825621,16832526263539,72.009297,73.729389,46,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,1,1,1,1,0,1,1,1,1,1
2025-11-04T12:49:50.900251Z,1762260590.900261,16832603084002,76.820463,75.265296,47,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:50.968949Z,1762260590.968966,16832670048298,66.964296,68.520111,48,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,0,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:49:51.038518Z,1762260591.038527,16832740805224,70.756926,69.778519,49,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,3,3,3,2,3,3,3,3,3
2025-11-04T12:49:51.108054Z,1762260591.108064,16832809704076,68.898852,69.537222,50,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,3,3,3,3,2,3,3,3,3,3
2025-11-04T12:49:51.180137Z,1762260591.180148,16832881516020,71.811944,72.067667,51,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,1,1,1,1,1,1,1,1,1,1
2025-11-04T12:49:51.250732Z,1762260591.250742,16832952775724,71.259704,70.555481,52,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,2,2,2,2,2,2,2,2,2,2
2025-11-04T12:49:51.326098Z,1762260591.326109,16833023802298,71.026574,75.299982,53,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:51.402038Z,1762260591.402049,16833100757464,76.955166,75.976259,54,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:51.472362Z,1762260591.472374,16833172383594,71.62613,70.317648,55,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,2,2,2,2,2,2,2,2,2,2
2025-11-04T12:49:51.543556Z,1762260591.543567,16833242409723,70.026129,71.192796,56,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,2,2,2,2,2,2,2,2,2,2
2025-11-04T12:49:51.613992Z,1762260591.614004,16833313723297,71.313574,70.416296,57,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,2,2,2,2,2,2,2,2,2,2
2025-11-04T12:49:51.687338Z,1762260591.687350,16833386285557,72.56226,73.34863,58,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,0,1,1,1,1,0,1,1,1,1,1
2025-11-04T12:49:51.759713Z,1762260591.759724,16833460772149,74.486592,72.413592,59,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,1,1,1,1,1,1,1,1,1,1
2025-11-04T12:49:51.834924Z,1762260591.834936,16833533911001,73.138852,75.087871,60,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:51.937761Z,1762260591.937772,16833636877482,102.966481,102.824518,61,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:52.019667Z,1762260592.019678,16833716836686,79.959204,81.980389,62,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:52.093667Z,1762260592.093679,16833792975964,76.139278,73.992445,63,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,1,0,1,1,1,1,0,1,0,1
2025-11-04T12:49:52.169678Z,1762260592.169689,16833867572464,74.5965,75.834777,64,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:52.244065Z,1762260592.244077,16833943256556,75.684092,74.566204,65,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:52.318266Z,1762260592.318279,16834017333445,74.076889,74.216907,66,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,1,0,0,0,0,0
2025-11-04T12:49:52.392697Z,1762260592.392709,16834091940390,74.606945,74.440852,67,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:52.466125Z,1762260592.466136,16834165107927,73.167537,73.471463,68,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,1,1,1,1,0,1,1,1,1,1
2025-11-04T12:49:52.538575Z,1762260592.538587,16834238300834,73.192907,72.407981,69,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,1,1,1,1,1,1,1,1,1,1
2025-11-04T12:49:52.610633Z,1762260592.610645,16834309078167,70.777333,72.045426,70,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,1,1,1,1,1,1,1,1,1,1
2025-11-04T12:49:52.682563Z,1762260592.682575,16834382338834,73.260667,71.922334,71,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,2,1,2,2,1,1,2,2,2,2
2025-11-04T12:49:52.758058Z,1762260592.758069,16834456305926,73.967092,75.472592,72,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:52.832851Z,1762260592.832862,16834531524649,75.218723,74.847704,73,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:52.903020Z,1762260592.903032,16834602037723,70.513074,70.180537,74,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,1,1,1,1,1,1,1,1,1,1
2025-11-04T12:49:52.974884Z,1762260592.974896,16834674443593,72.40587,71.833055,75,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,2,2,2,1,2,2,2,2,2
2025-11-04T12:49:53.046963Z,1762260593.046975,16834745286148,70.842555,72.032889,76,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,2,2,2,1,1,2,2,2,2
2025-11-04T12:49:53.120765Z,1762260593.120777,16834820361185,75.075037,73.87587,77,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,0,1,1,1,1,1,1,1,1,1,1
2025-11-04T12:49:53.192456Z,1762260593.192468,16834891240908,70.879723,71.559241,78,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,6,2,0,1,2,2,2,2,2,2,2,2,2,2
2025-11-04T12:49:53.263616Z,1762260593.263627,16834964524222,73.283314,71.322556,79,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,2,2,2,1,2,2,2,2,2
2025-11-04T12:49:53.335582Z,1762260593.335592,16835033604648,69.080426,71.934166,80,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,2,2,2,1,2,2,2,2,2
2025-11-04T12:49:53.407801Z,1762260593.407813,16835107608389,74.003741,72.217185,81,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,1,1,1,1,1,1,1,1,1,1
2025-11-04T12:49:53.480922Z,1762260593.480933,16835181260111,73.651722,73.136389,82,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,1,1,1,1,1,1,1,1,1,1
2025-11-04T12:49:53.552839Z,1762260593.552851,16835251819944,70.559833,71.857982,83,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,2,2,2,1,2,2,2,2,2
2025-11-04T12:49:53.628018Z,1762260593.628029,16835326659555,74.839611,75.190796,84,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:49:53.700162Z,1762260593.700172,16835399332667,72.673112,72.156074,85,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,2,1,2,1,1,2,2,2,2
2025-11-04T12:49:53.769398Z,1762260593.769408,16835471579778,72.247111,69.27087,86,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:49:53.838907Z,1762260593.838917,16835541444592,69.864814,69.426223,87,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:49:53.910693Z,1762260593.910703,16835612659370,71.214778,71.824666,88,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,2,2,2,2,2,2,2,2,2
2025-11-04T12:49:53.978531Z,1762260593.978541,16835680704315,68.044945,67.935852,89,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,4,4,4,4,3,4,4,4,4,4
2025-11-04T12:49:54.048565Z,1762260594.048576,16835751046277,70.341962,70.034741,90,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,3,3,3,3,2,3,3,3,3,3
2025-11-04T12:49:54.118307Z,1762260594.118317,16835821085555,70.039278,69.619926,91,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,3,3,3,3,2,3,3,3,3,3
2025-11-04T12:49:54.188468Z,1762260594.188479,16835890676740,69.591185,70.251629,92,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,3,3,3,3,2,3,3,3,3,3
2025-11-04T12:49:54.258590Z,1762260594.258600,16835960815481,70.138741,70.155759,93,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,6,2,0,1,3,3,3,3,3,2,3,3,3,3
2025-11-04T12:49:54.328962Z,1762260594.328973,16836031234481,70.419,70.338223,94,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,3,3,3,2,2,2,3,3,3,3
2025-11-04T12:49:54.396362Z,1762260594.396375,16836098488240,67.253759,67.307185,95,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,4,4,4,4,3,4,4,4,4,4
2025-11-04T12:49:54.464612Z,1762260594.464622,16836166096777,67.608537,68.377666,96,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,4,4,4,4,3,4,4,4,4,4
2025-11-04T12:49:54.531392Z,1762260594.531403,16836234261888,68.165111,66.763093,97,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,5,5,5,5,4,5,5,5,5,5
2025-11-04T12:49:54.599476Z,1762260594.599487,16836301673870,67.411982,68.083407,98,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,0,4,4,4,4,3,4,4,4,4,4
2025-11-04T12:49:54.668145Z,1762260594.668155,16836370278407,68.604537,68.718371,99,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,3,3,3,3,3,3,4,4,4,4
2025-11-04T12:49:54.739552Z,1762260594.739562,16836439849444,69.571037,71.363759,100,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,2,2,2,2,2,2,2,2,2
2025-11-04T12:49:54.810269Z,1762260594.810280,16836513230110,73.380666,70.709148,101,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,2,2,2,2,2,2,2,2,2
2025-11-04T12:49:54.881574Z,1762260594.881585,16836581799573,68.569463,71.269815,102,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,0,2,2,2,2,2,2,2,2,2,2
2025-11-04T12:49:54.950284Z,1762260594.950309,16836652587370,70.787797,68.745926,103,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:49:55.022509Z,1762260595.022519,16836723653814,71.066444,72.158148,104,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,1,2,1,1,1,2,2,2,2
2025-11-04T12:49:55.093746Z,1762260595.093756,16836794098073,70.444259,71.16724,105,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,2,2,2,2,2,2,2,2,2
2025-11-04T12:49:55.165011Z,1762260595.165021,16836866883073,72.785,71.435926,106,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,2,2,2,1,2,2,2,2,2
2025-11-04T12:49:55.235838Z,1762260595.235848,16836938697332,71.814259,70.798445,107,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,2,2,2,2,2,2,2,2,2
2025-11-04T12:49:55.307716Z,1762260595.307726,16837009577795,70.880463,71.882388,108,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,2,2,2,1,2,2,2,2,2
2025-11-04T12:49:55.377161Z,1762260595.377177,16837079601110,70.023315,69.00626,109,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:49:55.447303Z,1762260595.447313,16837149662406,70.061296,70.581814,110,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,2,2,2,2,2,2,2,2,2
2025-11-04T12:49:55.517132Z,1762260595.517145,16837219791036,70.12863,69.351019,111,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:49:55.587080Z,1762260595.587090,16837287815777,68.024741,70.435352,112,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,32,1,0,0,5,2,0,1,2,2,2,2,2,2,2,2,2,2
