# timestamp: 20251101_164914
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HS22
# duration_s: 12.0
# dark_thresh: 100
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,y_metric,y_mean,y_std,y_p10,y_p90,sat_lo_pct,sat_hi_pct,frame_drop
0,0.091338,0.0,0,-1,97.4444,86.26,4.022,84.0,89.0,0.0,0.0,0
1,0.183288,0.09195,0,-1,97.4514,86.266,4.022,84.0,89.0,0.0,0.0,0
2,0.279044,0.095756,0,-1,97.4236,86.263,4.027,84.0,89.0,0.0,0.0,0
3,0.371054,0.09201,200,1,97.4236,86.27,4.032,84.0,89.0,0.0,0.0,0
4,0.463097,0.092043,200,1,97.4306,86.408,4.051,84.0,89.0,0.0,0.0,0
5,0.559069,0.095972,200,1,59.2222,106.15,25.518,86.0,135.0,0.0,0.0,0
6,0.651111,0.092042,200,1,59.1806,106.144,25.521,86.0,135.0,0.0,0.0,0
7,0.74311,0.091999,200,1,59.1736,106.136,25.514,86.0,135.0,0.0,0.0,0
8,0.839092,0.095983,200,1,59.2083,106.136,25.517,86.0,135.0,0.0,0.0,0
9,0.931078,0.091985,200,1,59.2014,106.137,25.521,86.0,135.0,0.0,0.0,0
10,1.027063,0.095985,200,1,59.1667,106.141,25.515,86.0,135.0,0.0,0.0,0
11,1.119087,0.092024,200,1,59.2222,106.127,25.509,86.0,135.0,0.0,0.0,0
12,1.211126,0.092039,0,-1,59.2083,106.131,25.52,86.0,135.0,0.0,0.0,0
13,1.307073,0.095947,0,-1,60.6111,105.546,25.189,86.0,134.0,0.0,0.0,0
14,1.39911,0.092037,0,-1,97.4375,86.279,4.042,84.0,89.0,0.0,0.0,0
15,1.491143,0.092033,200,1,97.4375,86.272,4.045,84.0,89.0,0.0,0.0,0
16,1.587124,0.095981,200,1,97.4167,86.424,4.064,84.0,89.0,0.0,0.0,0
17,1.67912,0.091996,200,1,59.1597,106.137,25.519,86.0,135.0,0.0,0.0,0
18,1.77117,0.09205,0,-1,59.1597,106.141,25.513,86.0,135.0,0.0,0.0,0
19,1.867124,0.095954,0,-1,60.7222,105.453,25.136,86.0,134.0,0.0,0.0,0
20,1.959142,0.092019,0,-1,97.4167,86.279,4.052,84.0,89.0,0.0,0.0,0
21,2.051204,0.092062,0,-1,97.4375,86.272,4.04,84.0,89.0,0.0,0.0,0
22,2.147133,0.095928,0,-1,97.4375,86.276,4.046,84.0,89.0,0.0,0.0,0
23,2.239173,0.09204,0,-1,97.4306,86.277,4.042,84.0,89.0,0.0,0.0,0
24,2.33514,0.095967,200,1,97.4306,86.275,4.04,84.0,89.0,0.0,0.0,0
25,2.427138,0.091998,200,1,97.4375,86.41,4.052,84.0,89.0,0.0,0.0,0
26,2.519218,0.09208,200,1,59.2014,106.136,25.516,86.0,135.0,0.0,0.0,0
27,2.615166,0.095948,200,1,59.1944,106.144,25.521,86.0,135.0,0.0,0.0,0
28,2.707194,0.092028,200,1,59.1736,106.142,25.518,86.0,135.0,0.0,0.0,0
29,2.799216,0.092022,200,1,59.1528,106.141,25.507,86.0,135.0,0.0,0.0,0
30,2.895181,0.095965,0,-1,59.1667,106.135,25.51,86.0,135.0,0.0,0.0,0
31,2.987195,0.092014,0,-1,59.8819,105.829,25.353,86.0,134.0,0.0,0.0,0
32,3.079239,0.092044,0,-1,97.4306,86.282,4.03,84.0,89.0,0.0,0.0,0
33,3.175193,0.095954,0,-1,97.4306,86.283,4.028,84.0,89.0,0.0,0.0,0
34,3.267219,0.092026,0,-1,97.4444,86.279,4.027,84.0,89.0,0.0,0.0,0
35,3.36318,0.095961,0,-1,97.4097,86.274,4.025,84.0,89.0,0.0,0.0,0
36,3.455207,0.092027,200,1,97.4236,86.275,4.026,84.0,89.0,0.0,0.0,0
37,3.547239,0.092032,200,1,97.4236,86.42,4.041,84.0,89.0,0.0,0.0,0
38,3.643205,0.095966,200,1,59.2431,106.139,25.51,86.0,135.0,0.0,0.0,0
39,3.735217,0.092012,200,1,59.1667,106.14,25.519,86.0,135.0,0.0,0.0,0
40,3.827259,0.092042,200,1,59.2153,106.136,25.517,86.0,135.0,0.0,0.0,0
41,3.923225,0.095965,200,1,59.2083,106.132,25.507,86.0,135.0,0.0,0.0,0
42,4.015234,0.09201,200,1,59.1597,106.137,25.512,86.0,135.0,0.0,0.0,0
43,4.107271,0.092037,200,1,59.125,106.137,25.513,86.0,135.0,0.0,0.0,0
44,4.203239,0.095968,200,1,59.25,106.13,25.51,86.0,135.0,0.0,0.0,0
45,4.295249,0.09201,0,-1,59.1667,106.131,25.504,86.0,135.0,0.0,0.0,0
46,4.391226,0.095977,0,-1,60.5278,105.57,25.199,86.0,134.0,0.0,0.0,0
47,4.483233,0.092007,0,-1,97.4097,86.284,4.04,84.0,89.0,0.0,0.0,0
48,4.575265,0.092032,200,1,97.4236,86.287,4.036,84.0,89.0,0.0,0.0,0
49,4.671224,0.095959,200,1,97.4097,86.433,4.049,84.0,89.0,0.0,0.0,0
50,4.763275,0.092051,200,1,59.2083,106.133,25.516,86.0,135.0,0.0,0.0,0
51,4.855284,0.092009,200,1,59.1458,106.138,25.515,86.0,135.0,0.0,0.0,0
52,4.951261,0.095977,200,1,59.1319,106.136,25.506,86.0,135.0,0.0,0.0,0
53,5.043255,0.091994,200,1,59.2569,106.13,25.507,86.0,135.0,0.0,0.0,0
54,5.135298,0.092043,0,-1,59.1528,106.132,25.511,86.0,135.0,0.0,0.0,0
55,5.231253,0.095955,0,-1,61.3403,105.163,24.962,86.0,133.0,0.0,0.0,0
56,5.323284,0.092031,0,-1,97.4167,86.29,4.037,84.0,89.0,0.0,0.0,0
57,5.415339,0.092055,0,-1,97.4097,86.283,4.028,84.0,89.0,0.0,0.0,0
58,5.511272,0.095933,0,-1,97.4097,86.284,4.032,84.0,89.0,0.0,0.0,0
59,5.603327,0.092055,0,-1,97.4097,86.284,4.029,84.0,89.0,0.0,0.0,0
60,5.699293,0.095966,200,1,97.4306,86.283,4.028,84.0,89.0,0.0,0.0,0
61,5.791319,0.092027,200,1,97.4097,86.431,4.046,84.0,89.0,0.0,0.0,0
62,5.883349,0.092029,200,1,59.1597,106.137,25.519,86.0,135.0,0.0,0.0,0
63,5.979299,0.09595,200,1,59.1528,106.137,25.513,86.0,135.0,0.0,0.0,0
64,6.071318,0.092019,200,1,59.2153,106.138,25.506,86.0,135.0,0.0,0.0,0
65,6.163339,0.092021,200,1,59.1597,106.135,25.512,86.0,135.0,0.0,0.0,0
66,6.259317,0.095978,200,1,59.1875,106.14,25.516,86.0,135.0,0.0,0.0,0
67,6.35133,0.092014,200,1,59.2153,106.134,25.508,86.0,135.0,0.0,0.0,0
68,6.443365,0.092035,200,1,59.2083,106.134,25.505,86.0,135.0,0.0,0.0,0
69,6.53933,0.095964,200,1,59.2361,106.131,25.512,86.0,135.0,0.0,0.0,0
70,6.631374,0.092045,200,1,59.1736,106.128,25.512,86.0,135.0,0.0,0.0,0
71,6.727336,0.095962,200,1,59.0972,106.135,25.504,86.0,135.0,0.0,0.0,0
72,6.819365,0.092028,200,1,59.2778,106.124,25.503,86.0,135.0,0.0,0.0,0
73,6.911395,0.092031,200,1,59.2361,106.134,25.51,86.0,135.0,0.0,0.0,0
74,7.007351,0.095955,200,1,59.2639,106.128,25.515,86.0,135.0,0.0,0.0,0
75,7.099369,0.092018,200,1,59.1597,106.132,25.506,86.0,135.0,0.0,0.0,0
76,7.1914,0.092032,200,1,59.2361,106.131,25.498,86.0,135.0,0.0,0.0,0
77,7.28735,0.09595,200,1,59.2153,106.128,25.513,86.0,135.0,0.0,0.0,0
78,7.379376,0.092026,200,1,59.1875,106.13,25.509,86.0,135.0,0.0,0.0,0
79,7.471412,0.092036,200,1,59.25,106.122,25.502,86.0,135.0,0.0,0.0,0
80,7.567385,0.095973,200,1,59.2292,106.127,25.504,86.0,135.0,0.0,0.0,0
81,7.659406,0.092021,0,-1,59.1667,106.125,25.508,86.0,135.0,0.0,0.0,0
82,7.755387,0.095981,0,-1,61.125,105.348,25.073,86.0,133.0,0.0,0.0,0
83,7.847399,0.092012,0,-1,97.4167,86.295,4.039,84.0,89.0,0.0,0.0,0
84,7.939443,0.092044,200,1,97.4097,86.3,4.047,84.0,89.0,0.0,0.0,0
85,8.035389,0.095946,200,1,97.4167,86.45,4.062,84.0,89.0,0.0,0.0,0
86,8.127418,0.092029,200,1,59.1875,106.134,25.509,86.0,135.0,0.0,0.0,0
87,8.219442,0.092024,0,-1,59.2153,106.134,25.503,86.0,135.0,0.0,0.0,0
88,8.315415,0.095973,0,-1,61.1736,105.215,24.987,86.0,133.0,0.0,0.0,0
89,8.407459,0.092044,0,-1,97.4167,86.299,4.04,84.0,89.0,0.0,0.0,0
90,8.499489,0.09203,200,1,97.4097,86.299,4.046,84.0,89.0,0.0,0.0,0
91,8.595429,0.09594,200,1,97.4097,86.459,4.068,84.0,89.0,0.0,0.0,0
92,8.687458,0.09203,200,1,59.1875,106.132,25.512,86.0,135.0,0.0,0.0,0
93,8.779519,0.09206,200,1,59.1667,106.135,25.511,86.0,135.0,0.0,0.0,0
94,8.875452,0.095933,200,1,59.2083,106.127,25.507,86.0,135.0,0.0,0.0,0
95,8.967486,0.092034,200,1,59.1944,106.127,25.504,86.0,135.0,0.0,0.0,0
