# timestamp: 20251101_201237
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: LF1
# light_col: 1
# light_channel: 5
# duration_s: 4.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.095898,0.0,0,-1,88.6045,109.1766,85.819,86.6588,85.6919,89.356,50.0,37.0404,50.0,49.9482,50.0,49.9307,0
1,0.187709,0.091811,0,-1,88.613,109.18,85.8125,86.652,85.6906,89.3796,50.0,37.0384,50.0,49.9476,50.0,49.9303,0
2,0.283665,0.095955,0,-1,88.6159,109.1774,85.8187,86.6569,85.7057,89.3988,50.0,37.0775,50.0,49.9486,50.0,49.929,0
3,0.375664,0.092,200,1,88.6236,109.191,85.8216,86.6583,85.7086,89.403,50.0,37.0299,50.0,49.9489,50.0,49.931,0
4,0.467695,0.092031,200,1,88.6244,109.1982,85.8259,86.6622,85.7569,89.4693,50.0,37.0293,50.0,49.946,50.0,49.9281,0
5,0.563737,0.096041,200,1,103.4587,115.2193,89.943,87.8928,91.429,95.8363,40.8665,26.3512,47.9173,49.7917,46.3027,44.6497,0
6,0.655693,0.091957,0,-1,103.391,115.1893,89.9232,87.8858,91.4125,95.8222,40.9368,26.3913,47.9342,49.7923,46.3057,44.653,0
7,0.747712,0.092019,0,-1,103.3736,115.1939,89.9165,87.8805,91.3894,95.7915,40.9733,26.418,47.946,49.7904,46.3102,44.6458,0
8,0.84369,0.095978,0,-1,88.6177,109.2141,85.8265,86.6627,85.7081,89.4128,50.0,36.9658,49.9997,49.9466,50.0,49.9251,0
9,0.935692,0.092002,200,1,88.614,109.2128,85.8222,86.6643,85.7095,89.4142,50.0,36.9502,50.0,49.9489,50.0,49.9303,0
10,1.027734,0.092042,200,1,88.6142,109.2118,85.8312,86.6651,85.7607,89.4702,50.0,36.9652,50.0,49.9463,50.0,49.9297,0
11,1.123702,0.095968,200,1,103.4009,115.2157,89.9247,87.8894,91.4146,95.8278,40.9329,26.4004,47.9261,49.793,46.319,44.6576,0
12,1.215714,0.092012,0,-1,103.3539,115.2039,89.9235,87.8848,91.4009,95.8088,40.9935,26.4378,47.9313,49.7904,46.3125,44.6543,0
13,1.311696,0.095982,0,-1,103.3162,115.1786,89.9082,87.8812,91.3737,95.7762,41.0117,26.5208,47.9401,49.7943,46.3258,44.6683,0
14,1.403719,0.092023,0,-1,88.6113,109.2035,85.8223,86.6621,85.7066,89.4111,50.0,36.9701,50.0,49.9486,50.0,49.9274,0
15,1.495743,0.092025,200,1,88.6082,109.1997,85.8176,86.6609,85.7065,89.4183,50.0,37.0413,50.0,49.9482,50.0,49.9287,0
16,1.59171,0.095966,200,1,88.6281,109.2015,85.8357,86.6634,85.7616,89.4597,50.0,36.9932,50.0,49.9463,50.0,49.931,0
17,1.683726,0.092017,200,1,103.384,115.176,89.923,87.881,91.4066,95.8051,40.9365,26.4847,47.9264,49.791,46.2998,44.6637,0
18,1.775767,0.092041,0,-1,103.3207,115.1481,89.9042,87.8767,91.3907,95.7827,41.0449,26.6012,47.9437,49.7926,46.3203,44.6579,0
19,1.871721,0.095954,0,-1,103.2912,115.1307,89.8934,87.8712,91.3585,95.7454,41.0511,26.5768,47.9333,49.7936,46.332,44.6712,0
20,1.963748,0.092027,0,-1,88.6132,109.1773,85.8236,86.6628,85.6956,89.3983,50.0,37.0944,50.0,49.9476,50.0,49.931,0
21,2.055865,0.092117,200,1,88.6098,109.1656,85.823,86.6592,85.7036,89.3923,50.0,37.0964,50.0,49.946,50.0,49.9297,0
22,2.151756,0.095891,200,1,88.6157,109.1658,85.8302,86.6625,85.7637,89.4542,50.0,37.071,50.0,49.9476,50.0,49.9274,0
