# started_utc=2025-11-04T12:52:02.913806Z
# rows=3
# cols=2
# PID_Kp=1.2
# PID_Ki=2.4
# PID_Kd=0.045
# time_notes=t_iso_utc is UTC; t_unix_s is epoch seconds; monotonic_ns is high-res monotonic clock
t_iso_utc,t_unix_s,monotonic_ns,loop_dt_ms,frame_dt_ms,loop_idx,auto_mode,dn_state,profile,exposure_locked,exposure_ms,exposure_gain,PID_Kp,PID_Ki,PID_Kd,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T12:52:03.358444Z,1762260723.358454,16964627645293,0.000759,,1,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:52:03.620770Z,1762260723.620780,16965317305015,689.659722,262.383574,2,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:52:03.692376Z,1762260723.692401,16965393058219,75.753204,71.408111,3,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,4,1,0,0,2,2,2,2,1,2,2,2,2,2
2025-11-04T12:52:03.766459Z,1762260723.766471,16965466453830,73.395611,74.286574,4,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:52:03.834830Z,1762260723.834841,16965536093700,69.63987,68.364518,5,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,4,1,0,0,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:52:03.903772Z,1762260723.903783,16965604448682,68.354982,69.022426,6,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,4,1,0,1,3,3,3,3,3,3,3,3,3,3
2025-11-04T12:52:03.970513Z,1762260723.970524,16965673410070,68.961388,66.676963,7,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,4,1,0,0,4,4,4,4,4,4,4,4,4,4
2025-11-04T12:52:04.037955Z,1762260724.037967,16965740150644,66.740574,67.446537,8,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,4,2,0,0,4,4,4,4,4,4,4,4,4,4
2025-11-04T12:52:04.106193Z,1762260724.106204,16965808192904,68.04226,68.241722,9,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,4,1,0,0,4,4,4,4,3,3,4,4,4,4
2025-11-04T12:52:04.173646Z,1762260724.173657,16965875874570,67.681666,67.467278,10,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,4,1,0,0,4,4,4,4,4,4,4,4,4,4
