# timestamp: 20251101_164803
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HS22
# duration_s: 12.0
# dark_thresh: 50
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,y_metric,y_mean,y_std,y_p10,y_p90,sat_lo_pct,sat_hi_pct,frame_drop
64,6.071135,0.09201,200,1,0.0,106.067,25.477,86.0,135.0,0.0,0.0,0
65,6.163168,0.092033,200,1,0.0,106.07,25.471,86.0,135.0,0.0,0.0,0
66,6.259134,0.095966,0,-1,0.0,106.076,25.484,86.0,135.0,0.0,0.0,0
67,6.351145,0.092011,0,-1,0.0,105.6,25.227,86.0,134.0,0.0,0.0,0
68,6.443207,0.092062,0,-1,0.0,86.191,3.829,84.0,89.0,0.0,0.0,0
69,6.539154,0.095947,200,1,0.0,86.191,3.828,84.0,89.0,0.0,0.0,0
70,6.631188,0.092034,200,1,0.0,86.333,3.849,84.0,89.0,0.0,0.0,0
71,6.727158,0.095969,200,1,0.0,106.078,25.488,86.0,135.0,0.0,0.0,0
72,6.819176,0.092018,200,1,0.0,106.075,25.472,86.0,135.0,0.0,0.0,0
73,6.911206,0.09203,200,1,0.0,106.074,25.474,86.0,135.0,0.0,0.0,0
74,7.007165,0.095959,200,1,0.0,106.073,25.487,86.0,135.0,0.0,0.0,0
75,7.099191,0.092026,200,1,0.0,106.073,25.483,86.0,135.0,0.0,0.0,0
76,7.191216,0.092025,200,1,0.0,106.067,25.47,86.0,135.0,0.0,0.0,0
77,7.287185,0.095969,200,1,0.0,106.067,25.476,86.0,135.0,0.0,0.0,0
78,7.379202,0.092017,200,1,0.0,106.074,25.482,86.0,135.0,0.0,0.0,0
79,7.471244,0.092042,200,1,0.0,106.066,25.48,86.0,135.0,0.0,0.0,0
80,7.567197,0.095953,200,1,0.0,106.059,25.469,86.0,135.0,0.0,0.0,0
81,7.659229,0.092032,200,1,0.0,106.063,25.475,86.0,135.0,0.0,0.0,0
82,7.755202,0.095973,200,1,0.0,106.066,25.488,86.0,135.0,0.0,0.0,0
83,7.847219,0.092017,200,1,0.0,106.063,25.477,86.0,135.0,0.0,0.0,0
84,7.939247,0.092028,200,1,0.0,106.058,25.466,86.0,135.0,0.0,0.0,0
85,8.035211,0.095964,200,1,0.0,106.063,25.48,86.0,135.0,0.0,0.0,0
86,8.127229,0.092018,200,1,0.0,106.072,25.483,86.0,135.0,0.0,0.0,0
87,8.219269,0.09204,0,-1,0.0,106.068,25.477,86.0,135.0,0.0,0.0,0
88,8.31523,0.095961,0,-1,0.0,105.111,24.932,86.0,133.0,0.0,0.0,0
89,8.407258,0.092027,0,-1,0.0,86.207,3.902,84.0,89.0,0.0,0.0,0
