# timestamp: 20251101_211621
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 5.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HF2
# light_col: 2
# light_channel: 4
# duration_s: 12.0
# dark_thresh: 100
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.095906,0.0,200,1,91.4879,105.9179,87.2972,88.7724,92.3943,128.5066,49.3701,40.6045,49.9948,49.7835,48.0241,24.1729,0
1,0.187668,0.091762,200,1,91.4862,105.9137,87.2942,88.7675,92.3856,128.4889,49.3672,40.5967,49.9951,49.7878,48.0283,24.1689,0
2,0.283641,0.095973,200,1,91.4884,105.9115,87.2927,88.7685,92.3872,128.4857,49.3743,40.5993,49.9951,49.7829,48.0264,24.1781,0
3,0.375648,0.092007,200,1,91.5096,105.9127,87.2989,88.7687,92.393,128.4886,49.3682,40.5944,49.9951,49.79,48.0205,24.1608,0
4,0.467685,0.092036,200,1,91.5079,105.9138,87.2946,88.7715,92.3921,128.4911,49.3695,40.5983,49.9945,49.7894,48.0286,24.1963,0
5,0.56364,0.095956,200,1,91.4824,105.9128,87.2861,88.7652,92.3808,128.4778,49.3665,40.5951,49.9945,49.779,48.0205,24.1842,0
6,0.655673,0.092032,200,1,91.474,105.9077,87.2905,88.7701,92.3826,128.4759,49.3708,40.6016,49.9948,49.7874,48.0286,24.1888,0
7,0.747704,0.092031,200,1,91.4918,105.9071,87.2934,88.7612,92.3816,128.4743,49.3747,40.597,49.9941,49.7865,48.029,24.1686,0
8,0.843676,0.095972,200,1,91.5074,105.9176,87.2937,88.7648,92.3913,128.4844,49.3708,40.5967,49.9945,49.7884,48.0267,24.1823,0
9,0.935676,0.092,200,1,91.493,105.9067,87.2912,88.7608,92.3834,128.4707,49.3737,40.5983,49.9948,49.7868,48.0329,24.1761,0
10,1.027725,0.092049,200,1,91.4733,105.9064,87.2932,88.7596,92.3774,128.4638,49.3691,40.5934,49.9951,49.7904,48.042,24.1729,0
11,1.12367,0.095945,200,1,91.4771,105.9042,87.2901,88.7609,92.3795,128.461,49.3665,40.5983,49.9948,49.7881,48.0355,24.21,0
12,1.215684,0.092014,0,-1,91.4993,105.9064,87.2967,88.7647,92.3797,128.4637,49.3721,40.5996,49.9951,49.7826,48.0208,24.1888,0
13,1.311676,0.095992,0,-1,91.5047,105.9019,87.2922,88.7578,92.3306,128.3408,49.3685,40.6087,49.9954,49.791,48.0469,24.2487,0
14,1.403716,0.09204,0,-1,87.5208,100.9338,85.3405,85.8823,85.31,87.3724,50.0,40.8887,49.9964,49.9085,50.0,49.9899,0
15,1.495723,0.092007,0,-1,87.5158,100.9352,85.3326,85.8794,85.305,87.3666,50.0,40.8825,49.9964,49.9082,50.0,49.9886,0
16,1.591686,0.095963,0,-1,87.5246,100.9353,85.3322,85.8796,85.3045,87.3684,50.0,40.8831,49.9967,49.9095,50.0,49.9889,0
17,1.683768,0.092082,0,-1,87.5358,100.9431,85.341,85.8828,85.3107,87.3728,50.0,40.8854,49.9967,49.9085,50.0,49.9889,0
18,1.77575,0.091982,0,-1,87.5432,100.9416,85.3421,85.8887,85.3096,87.3724,50.0,40.8831,49.9964,49.9089,50.0,49.9909,0
19,1.871706,0.095956,0,-1,87.5181,100.9388,85.3334,85.8801,85.3049,87.3685,50.0,40.887,49.9967,49.9098,50.0,49.9922,0
20,1.963716,0.09201,0,-1,87.5082,100.9401,85.3381,85.8799,85.3049,87.3665,50.0,40.8861,49.9964,49.9098,50.0,49.9899,0
21,2.055746,0.092029,0,-1,87.5227,100.9405,85.3398,85.8866,85.3091,87.3682,50.0,40.8838,49.9964,49.9066,50.0,49.9902,0
22,2.151714,0.095968,0,-1,87.5442,100.9395,85.3391,85.881,85.3074,87.3708,50.0,40.8874,49.9967,49.9108,50.0,49.9889,0
23,2.243773,0.092059,0,-1,87.536,100.9431,85.3377,85.8838,85.3078,87.3671,50.0,40.8831,49.9971,49.9079,50.0,49.9912,0
24,2.335806,0.092033,0,-1,87.5148,100.9392,85.3349,85.8808,85.3063,87.3699,50.0,40.887,49.9967,49.9108,50.0,49.9906,0
25,2.431777,0.095971,0,-1,87.5165,100.9295,85.3394,85.8873,85.3025,87.3692,50.0,40.8848,49.9967,49.9079,50.0,49.9899,0
26,2.523798,0.092021,0,-1,87.5273,100.9308,85.3405,85.8793,85.3044,87.3644,50.0,40.8896,49.9967,49.9085,50.0,49.9906,0
27,2.619758,0.09596,0,-1,87.5397,100.9319,85.3401,85.8798,85.3101,87.374,50.0,40.8838,49.9964,49.9079,50.0,49.9896,0
28,2.711768,0.09201,0,-1,87.5254,100.9351,85.3389,85.8831,85.3072,87.3653,50.0,40.8867,49.9967,49.9076,50.0,49.9919,0
29,2.803819,0.092051,0,-1,87.5126,100.931,85.331,85.878,85.3057,87.371,50.0,40.8841,49.9964,49.9076,50.0,49.9883,0
30,2.899786,0.095967,0,-1,87.5162,100.9245,85.3391,85.8816,85.3042,87.366,50.0,40.8874,49.9967,49.9082,50.0,49.9886,0
31,2.991797,0.092011,0,-1,87.5386,100.9323,85.3378,85.876,85.3068,87.3692,50.0,40.8861,49.9967,49.9085,50.0,49.9919,0
32,3.083838,0.092042,0,-1,87.5421,100.9296,85.3399,85.8851,85.3054,87.3701,50.0,40.8903,49.9967,49.9089,50.0,49.9899,0
33,3.179796,0.095958,200,1,87.5156,100.9292,85.3354,85.8806,85.3075,87.3669,50.0,40.8854,49.9964,49.9089,50.0,49.9912,0
34,3.271814,0.092018,200,1,87.5138,100.929,85.3507,85.8976,85.3911,88.6871,50.0,40.8802,49.9967,49.9085,50.0,49.9896,0
35,3.363885,0.092071,200,1,91.5267,105.9535,87.3098,88.7937,92.4448,128.6489,49.3669,40.6012,49.9941,49.7852,47.998,24.1133,0
36,3.459815,0.09593,0,-1,91.5193,105.9349,87.3055,88.7832,92.4258,128.5879,49.3734,40.5973,49.9948,49.7799,48.0231,24.1299,0
37,3.551888,0.092073,0,-1,91.5204,105.9289,87.3044,88.7766,92.3719,128.4599,49.3659,40.5928,49.9954,49.7871,48.0456,24.2002,0
38,3.647819,0.095931,0,-1,87.518,100.9332,85.3295,85.8806,85.3094,87.3669,50.0,40.8848,49.9964,49.9102,50.0,49.9919,0
39,3.739905,0.092086,200,1,87.5149,100.9354,85.3388,85.878,85.3044,87.3619,50.0,40.8906,49.9967,49.9092,50.0,49.9912,0
40,3.831871,0.091966,200,1,87.5313,100.9413,85.3498,85.9003,85.393,88.7419,50.0,40.8877,49.9964,49.9092,50.0,49.986,0
41,3.927823,0.095952,200,1,91.5408,105.9547,87.309,88.7906,92.4358,128.6007,49.3643,40.5941,49.9941,49.7878,48.0023,24.1406,0
42,4.019847,0.092025,0,-1,91.5187,105.9431,87.3065,88.7815,92.4162,128.5677,49.3682,40.5885,49.9941,49.7796,48.0192,24.1491,0
43,4.111866,0.092018,0,-1,91.4882,105.9355,87.2954,88.7724,92.3529,128.4242,49.3682,40.5967,49.9951,49.7845,48.0417,24.2161,0
44,4.20784,0.095975,0,-1,87.5145,100.9448,85.3364,85.8806,85.3078,87.3611,50.0,40.8874,49.9964,49.9105,50.0,49.9899,0
45,4.299871,0.092031,200,1,87.5316,100.9554,85.337,85.8825,85.3148,87.3632,50.0,40.8799,49.9964,49.9089,50.0,49.9902,0
46,4.3919,0.092028,200,1,87.5445,100.9595,85.3566,85.9081,85.3994,88.7668,50.0,40.8786,49.9964,49.9102,50.0,49.987,0
47,4.487873,0.095974,200,1,91.5111,105.9591,87.3051,88.7879,92.4262,128.5905,49.3662,40.5931,49.9948,49.778,48.0068,24.1445,0
48,4.579889,0.092015,200,1,91.4888,105.9468,87.2985,88.7753,92.4107,128.544,49.3682,40.585,49.9945,49.7842,48.0231,24.1423,0
49,4.675899,0.096011,200,1,91.4903,105.9408,87.2983,88.7754,92.3995,128.5241,49.3711,40.5882,49.9948,49.7826,48.0358,24.1699,0
50,4.767885,0.091985,200,1,91.506,105.9353,87.3007,88.7725,92.3912,128.4993,49.3652,40.5876,49.9951,49.7891,48.0299,24.1865,0
51,4.859914,0.092029,200,1,91.5079,105.9319,87.2942,88.769,92.3914,128.4955,49.375,40.598,49.9945,49.7852,48.0176,24.1725,0
52,4.955869,0.095955,200,1,91.4838,105.9269,87.2959,88.7737,92.3892,128.4921,49.3708,40.5967,49.9951,49.7861,48.0312,24.1781,0
53,5.047939,0.09207,200,1,91.4731,105.9201,87.2945,88.7703,92.3745,128.4711,49.3717,40.5983,49.9941,49.7842,48.0257,24.2041,0
54,5.139974,0.092035,200,1,91.4825,105.9206,87.2959,88.7643,92.3791,128.4707,49.3691,40.5967,49.9954,49.79,48.0293,24.1839,0
55,5.235904,0.09593,200,1,91.5025,105.9149,87.296,88.7647,92.3848,128.4671,49.3724,40.5983,49.9948,49.7897,48.0218,24.1794,0
56,5.327908,0.092004,200,1,91.4957,105.9152,87.2971,88.7656,92.3764,128.4555,49.3753,40.6009,49.9948,49.79,48.0371,24.1859,0
57,5.41997,0.092062,200,1,91.4746,105.9146,87.2892,88.7614,92.3693,128.4489,49.3691,40.5964,49.9958,49.7881,48.0254,24.2051,0
58,5.515931,0.095961,200,1,91.4721,105.9157,87.2921,88.7662,92.3709,128.4495,49.3698,40.6016,49.9948,49.7887,48.028,24.1908,0
