# timestamp: 20251101_164557
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HS22
# duration_s: 12.0
# dark_thresh: 20
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,y_metric,y_mean,y_std,y_p10,y_p90,sat_lo_pct,sat_hi_pct,frame_drop
0,0.091255,0.0,0,-1,0.0,164.221,23.074,129.0,184.0,0.0,0.0,0
1,0.183223,0.091968,0,-1,0.0,164.216,23.064,129.0,184.0,0.0,0.0,0
2,0.278936,0.095713,0,-1,0.0,164.225,23.07,129.0,184.0,0.0,0.0,0
3,0.370961,0.092025,0,-1,0.0,164.228,23.072,129.0,184.0,0.0,0.0,0
4,0.462966,0.092006,0,-1,0.0,164.227,23.059,129.0,184.0,0.0,0.0,0
5,0.55894,0.095974,0,-1,0.0,164.218,23.063,129.0,184.0,0.0,0.0,0
6,0.650963,0.092023,200,1,0.0,164.234,23.068,129.0,184.0,0.0,0.0,0
7,0.742999,0.092036,200,1,0.0,164.251,23.058,129.0,184.0,0.0,0.0,0
8,0.838963,0.095964,200,1,0.0,166.65,21.641,133.0,184.0,0.0,0.0,0
9,0.930996,0.092033,0,-1,0.0,166.654,21.641,133.0,184.0,0.0,0.0,0
10,1.026956,0.095961,0,-1,0.0,166.548,21.723,133.0,184.0,0.0,0.0,0
11,1.118976,0.09202,0,-1,0.0,164.233,23.071,129.0,184.0,0.0,0.0,0
12,1.210999,0.092023,0,-1,0.0,164.227,23.061,129.0,184.0,0.0,0.0,0
13,1.306967,0.095968,0,-1,0.0,164.23,23.06,129.0,184.0,0.0,0.0,0
14,1.398987,0.092019,0,-1,0.0,164.243,23.065,129.0,184.0,0.0,0.0,0
15,1.491023,0.092037,200,1,0.0,164.238,23.059,129.0,184.0,0.0,0.0,0
16,1.587018,0.095995,200,1,0.0,164.247,23.049,129.0,184.0,0.0,0.0,0
17,1.679012,0.091994,200,1,0.0,166.653,21.646,133.0,184.0,0.0,0.0,0
18,1.771052,0.09204,0,-1,0.0,166.663,21.641,133.0,184.0,0.0,0.0,0
19,1.867004,0.095952,0,-1,0.0,166.507,21.739,133.0,184.0,0.0,0.0,0
20,1.959012,0.092008,0,-1,0.0,164.225,23.057,129.0,184.0,0.0,0.0,0
21,2.055003,0.095991,200,1,0.0,164.23,23.064,129.0,184.0,0.0,0.0,0
22,2.147024,0.092021,200,1,0.0,164.253,23.061,129.0,184.0,0.0,0.0,0
23,2.239064,0.09204,200,1,0.0,166.645,21.644,133.0,184.0,0.0,0.0,0
24,2.335016,0.095952,200,1,0.0,166.643,21.636,133.0,184.0,0.0,0.0,0
25,2.427051,0.092035,200,1,0.0,166.641,21.646,133.0,184.0,0.0,0.0,0
26,2.519072,0.092021,200,1,0.0,166.629,21.66,133.0,184.0,0.0,0.0,0
27,2.615055,0.095984,0,-1,0.0,166.619,21.655,133.0,184.0,0.0,0.0,0
28,2.70705,0.091994,0,-1,0.0,166.551,21.702,133.0,184.0,0.0,0.0,0
29,2.799086,0.092036,0,-1,0.0,164.182,23.109,129.0,184.0,0.0,0.0,0
30,2.895092,0.096006,200,1,0.0,164.163,23.129,129.0,184.0,0.0,0.0,0
31,2.987131,0.092039,200,1,0.0,164.157,23.118,128.0,184.0,0.0,0.0,0
32,3.079177,0.092046,200,1,0.0,166.568,21.685,133.0,184.0,0.0,0.0,0
33,3.175103,0.095926,200,1,0.0,166.574,21.693,133.0,184.0,0.0,0.0,0
