# timestamp: 20251101_165832
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10
# stimulus: rand_telegraph
# low: 0
# high: 128
# hold_frames: 3
# test_light: HS22
# duration_s: 5.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,y_metric,y_mean,y_std,y_p10,y_p90,sat_lo_pct,sat_hi_pct,frame_drop
0,0.091494,0.0,128,1,29.7917,108.071,26.686,86.0,147.0,0.0,0.0,0
1,0.183495,0.092001,128,1,29.9236,108.078,26.681,86.0,146.0,0.0,0.0,0
2,0.279261,0.095766,128,1,29.7917,108.078,26.683,86.0,146.0,0.0,0.0,0
3,0.371271,0.09201,128,1,29.8333,108.08,26.68,86.0,146.0,0.0,0.0,0
4,0.463319,0.092048,128,1,29.8264,108.074,26.682,86.0,146.0,0.0,0.0,0
5,0.559277,0.095958,128,1,29.7639,108.073,26.682,86.0,146.0,0.0,0.0,0
6,0.651321,0.092044,0,-1,29.7917,108.084,26.679,86.0,146.0,0.0,0.0,0
7,0.743322,0.092001,0,-1,30.4931,107.282,26.253,86.0,145.0,0.0,0.0,0
8,0.839298,0.095975,0,-1,76.3125,89.111,9.608,84.0,94.0,0.0,0.0,0
9,0.931305,0.092007,0,-1,76.3681,89.112,9.6,84.0,94.0,0.0,0.0,0
10,1.027293,0.095988,0,-1,76.3819,89.114,9.611,84.0,94.0,0.0,0.0,0
11,1.119304,0.092012,0,-1,76.3403,89.115,9.609,84.0,94.0,0.0,0.0,0
12,1.211353,0.092049,0,-1,76.3681,89.12,9.605,84.0,94.0,0.0,0.0,0
13,1.307303,0.09595,0,-1,76.4375,89.12,9.617,84.0,94.0,0.0,0.0,0
14,1.399337,0.092033,0,-1,76.4514,89.116,9.615,84.0,94.0,0.0,0.0,0
15,1.491359,0.092022,128,1,76.4375,89.118,9.619,84.0,94.0,0.0,0.0,0
16,1.587381,0.096023,128,1,74.4653,89.288,9.624,84.0,94.0,0.0,0.0,0
17,1.679342,0.091961,128,1,29.7778,108.108,26.696,86.0,146.0,0.0,0.0,0
18,1.771389,0.092046,128,1,29.7708,108.104,26.692,86.0,146.0,0.0,0.0,0
19,1.867367,0.095978,128,1,29.7917,108.101,26.689,86.0,146.0,0.0,0.0,0
20,1.95938,0.092013,128,1,29.7153,108.1,26.688,86.0,147.0,0.0,0.0,0
21,2.051423,0.092043,0,-1,29.7847,108.107,26.692,86.0,146.0,0.0,0.0,0
22,2.147363,0.09594,0,-1,30.7917,106.948,26.062,86.0,144.0,0.0,0.0,0
23,2.239395,0.092031,0,-1,76.3056,89.129,9.625,84.0,94.0,0.0,0.0,0
24,2.335363,0.095968,128,1,76.2917,89.127,9.627,84.0,94.0,0.0,0.0,0
25,2.427365,0.092002,128,1,74.4931,89.281,9.633,84.0,94.0,0.0,0.0,0
26,2.519418,0.092053,128,1,29.7014,108.113,26.697,86.0,146.0,0.0,0.0,0
27,2.615374,0.095956,0,-1,29.7847,108.109,26.693,86.0,146.0,0.0,0.0,0
28,2.707408,0.092034,0,-1,30.2361,107.644,26.455,86.0,145.1,0.0,0.0,0
29,2.799421,0.092013,0,-1,76.3333,89.135,9.626,84.0,94.0,0.0,0.0,0
30,2.895397,0.095976,128,1,76.3333,89.14,9.63,84.0,94.0,0.0,0.0,0
31,2.987415,0.092018,128,1,74.5139,89.291,9.641,84.0,94.0,0.0,0.0,0
32,3.079471,0.092056,128,1,29.7847,108.116,26.699,86.0,146.1,0.0,0.0,0
33,3.175425,0.095954,128,1,29.7431,108.112,26.698,86.0,146.1,0.0,0.0,0
34,3.267454,0.092029,128,1,29.7708,108.116,26.689,86.0,146.0,0.0,0.0,0
35,3.363458,0.096004,128,1,29.7153,108.111,26.694,86.0,146.0,0.0,0.0,0
