# timestamp: 20251101_201732
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 5.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HF1
# light_col: 1
# light_channel: 4
# duration_s: 20.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.095932,0.0,200,1,93.8623,107.9781,89.2238,91.5528,93.1729,111.2674,49.1117,36.6924,49.818,48.3597,46.6507,29.0186,0
1,0.187712,0.09178,200,1,93.8496,107.9729,89.2233,91.5572,93.1742,111.2766,49.1094,36.6846,49.8187,48.3512,46.6374,29.0192,0
2,0.283664,0.095952,200,1,93.8232,107.9715,89.2187,91.5531,93.1684,111.2697,49.1182,36.68,49.8102,48.3672,46.6442,29.0293,0
3,0.375695,0.092031,0,-1,93.8222,107.9742,89.215,91.553,93.1627,111.2572,49.1172,36.6901,49.8135,48.362,46.6523,29.0247,0
4,0.467708,0.092013,0,-1,93.8393,107.9755,89.2165,91.548,93.1221,111.1484,49.109,36.68,49.819,48.3509,46.6683,29.0475,0
5,0.563685,0.095977,0,-1,87.4605,101.1678,85.3575,85.7568,85.3135,87.3429,50.0,40.9632,49.9951,50.0,50.0,49.985,0
6,0.65578,0.092095,0,-1,87.4392,101.1643,85.3528,85.7492,85.3089,87.3379,50.0,40.974,49.9951,50.0,50.0,49.985,0
7,0.747745,0.091965,0,-1,87.4275,101.1577,85.3509,85.7515,85.3036,87.3294,50.0,40.9714,49.9954,50.0,50.0,49.9844,0
8,0.843716,0.095971,0,-1,87.4292,101.1518,85.3522,85.7543,85.307,87.333,50.0,40.9678,49.9951,50.0,50.0,49.9844,0
9,0.935721,0.092005,200,1,87.4559,101.1542,85.353,85.7537,85.3109,87.3364,50.0,40.9697,49.9951,50.0,50.0,49.9847,0
10,1.027763,0.092042,200,1,87.4612,101.1574,85.3814,85.7936,85.4054,87.6639,50.0,40.9704,49.9951,50.0,50.0,49.9837,0
11,1.123728,0.095965,200,1,93.8842,108.0162,89.2525,91.6022,93.2419,111.4242,49.1048,36.5885,49.8109,48.3467,46.6162,28.988,0
12,1.215741,0.092012,200,1,93.8669,107.9894,89.2395,91.5859,93.2052,111.3601,49.109,36.6393,49.8096,48.3506,46.6048,29.0036,0
13,1.311747,0.096007,200,1,93.8623,107.9754,89.2332,91.5764,93.1998,111.3262,49.109,36.6888,49.8086,48.3483,46.6312,29.0049,0
14,1.403731,0.091983,200,1,93.8669,107.9738,89.2257,91.5636,93.1944,111.3042,49.1068,36.6768,49.8193,48.3607,46.6315,29.0215,0
15,1.495764,0.092034,200,1,93.845,107.9691,89.221,91.5597,93.1754,111.2769,49.109,36.693,49.8128,48.3438,46.6406,29.0368,0
16,1.591736,0.095972,200,1,93.8204,107.9552,89.2165,91.5475,93.164,111.2494,49.1149,36.7096,49.8122,48.3564,46.6387,29.0303,0
17,1.683748,0.092011,200,1,93.8294,107.9615,89.2164,91.553,93.1669,111.2576,49.1055,36.6908,49.8109,48.3672,46.6663,29.0277,0
18,1.775799,0.092051,0,-1,93.8355,107.9626,89.2175,91.5499,93.1642,111.244,49.1182,36.6595,49.8167,48.3708,46.6497,29.0189,0
19,1.871741,0.095942,0,-1,93.8507,107.9577,89.2149,91.5426,93.1204,111.1376,49.1185,36.6527,49.8092,48.3551,46.668,29.0518,0
20,1.963769,0.092028,0,-1,87.4331,101.1555,85.3569,85.7573,85.3098,87.3352,50.0,40.9665,49.9951,50.0,50.0,49.9847,0
21,2.055804,0.092035,200,1,87.4309,101.1574,85.3547,85.7513,85.3028,87.3295,50.0,40.9671,49.9951,50.0,50.0,49.9847,0
22,2.151779,0.095975,200,1,87.4393,101.1616,85.3827,85.797,85.411,87.6742,50.0,40.9505,49.9951,50.0,50.0,49.9844,0
23,2.243816,0.092037,200,1,93.8862,108.0059,89.2427,91.5861,93.2164,111.3606,49.1136,36.6351,49.8037,48.3532,46.6094,29.0059,0
24,2.335895,0.09208,200,1,93.8621,107.9767,89.2334,91.5721,93.1838,111.2968,49.1156,36.6807,49.8132,48.3551,46.6416,29.0192,0
25,2.431826,0.095931,200,1,93.8275,107.9635,89.2157,91.5553,93.1769,111.2733,49.1113,36.6862,49.8232,48.3714,46.6364,29.0208,0
26,2.523849,0.092022,200,1,93.8179,107.9593,89.216,91.559,93.165,111.2439,49.11,36.6908,49.8122,48.3636,46.6527,29.0273,0
27,2.619802,0.095954,0,-1,93.8348,107.9611,89.2169,91.5411,93.1611,111.2334,49.1211,36.6702,49.8184,48.3607,46.6465,29.0231,0
28,2.711841,0.092038,0,-1,93.8405,107.9599,89.2122,91.5405,93.1144,111.1291,49.11,36.7054,49.819,48.3574,46.6777,29.0492,0
