# started_utc=2025-11-04T12:42:56.119662Z
# rows=3
# cols=2
# PID_Kp=1.2
# PID_Ki=2.4
# PID_Kd=0.045
# time_notes=t_iso_utc is UTC; t_unix_s is epoch seconds; monotonic_ns is high-res monotonic clock
t_iso_utc,t_unix_s,monotonic_ns,loop_dt_ms,frame_dt_ms,loop_idx,auto_mode,dn_state,profile,exposure_locked,exposure_ms,exposure_gain,PID_Kp,PID_Ki,PID_Kd,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T12:42:56.558619Z,1762260176.558629,16417833630508,0.000444,,1,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:42:56.815463Z,1762260176.815476,16418512916489,679.285981,255.263814,2,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T12:42:56.886874Z,1762260176.886884,16418585312785,72.396296,73.103408,3,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,0,2,2,2,2,1,2,2,2,2,2
2025-11-04T12:42:56.954093Z,1762260176.954104,16418657068767,71.755982,67.186037,4,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,4,4,4,4,4,4
2025-11-04T12:42:57.021106Z,1762260177.021117,16418723834248,66.765481,67.019481,5,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,4,4,4,4,4,4
2025-11-04T12:42:57.092451Z,1762260177.092462,16418795518156,71.683908,71.359352,6,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,2,2,2,2,2,2,2,2,2,2
2025-11-04T12:42:57.158994Z,1762260177.159005,16418862086526,66.56837,66.557092,7,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,4,2,0,1,5,4,5,4,4,4,5,5,5,5
2025-11-04T12:42:57.226064Z,1762260177.226077,16418928747174,66.660648,66.990149,8,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,4,4,4,4,4,4,4,4,4,4
2025-11-04T12:42:57.292652Z,1762260177.292664,16418996010155,67.262981,66.632129,9,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,5,4,4,4,4,4,5,5,5,5
2025-11-04T12:42:57.359130Z,1762260177.359141,16419062343396,66.333241,66.502889,10,1,0,Classroom,1,8.0,,1.2,2.4,0.045,global,30,30,1,0,0,5,2,0,1,5,5,5,5,4,4,5,5,5,5
