# timestamp: 20251101_211054
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 5.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HS11
# light_col: 1
# light_channel: 1
# duration_s: 12.0
# dark_thresh: 100
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.187837,0.0,200,1,96.2504,97.4903,88.3631,90.417,93.7692,94.2959,49.3115,44.2865,50.0,48.6139,49.334,45.7949,0
1,0.375806,0.18797,200,1,96.5727,97.7733,88.2614,90.2943,93.9167,94.4305,49.2601,44.1494,50.0,48.6143,49.4098,45.7458,0
2,0.563545,0.187739,200,1,96.2115,97.3652,89.1498,91.7185,92.7017,92.3308,49.2454,44.3704,49.984,47.8444,49.4554,46.9609,0
3,0.751551,0.188006,0,-1,96.2417,97.7968,88.94,91.461,92.7431,92.8284,49.2907,44.0853,49.999,47.9889,49.4417,46.6126,0
4,0.939582,0.188031,0,-1,90.8645,95.9638,86.0367,90.3205,86.1694,91.2722,49.7158,44.5977,50.0,47.8034,49.9958,46.8317,0
5,1.123615,0.184033,0,-1,86.9463,95.4197,85.2808,89.0047,86.3078,92.1472,49.9987,44.3831,50.0,48.2565,49.998,46.2858,0
6,1.3116,0.187985,0,-1,86.9484,95.2276,85.361,89.5111,86.2656,91.6335,49.9961,44.512,50.0,47.9023,49.998,46.6406,0
7,1.499635,0.188035,0,-1,86.9337,95.3256,85.3926,89.8437,86.0632,90.8002,49.9993,44.4102,50.0,47.6624,49.998,47.1253,0
8,1.683635,0.184001,0,-1,86.9749,95.4649,85.2281,88.4539,86.3289,92.5922,49.9987,44.3675,50.0,48.6156,49.998,45.9548,0
9,1.875596,0.191961,200,1,86.9588,95.2028,85.3037,89.1075,86.1905,91.4188,49.9964,44.5426,50.0,48.1683,49.9977,46.7471,0
10,2.063632,0.188036,200,1,91.4933,95.8618,89.327,92.3488,91.8428,91.4553,49.7165,44.7715,49.9749,47.0954,49.4408,47.457,0
11,2.243657,0.180025,200,1,96.0422,96.9351,89.0163,91.5086,93.1385,93.1842,49.3564,44.5736,49.9977,47.9775,49.3851,46.458,0
12,2.435623,0.191966,0,-1,96.1672,97.3781,89.299,91.9277,92.5179,92.2424,49.321,44.3564,49.9854,47.6986,49.3307,46.959,0
13,2.623676,0.188053,0,-1,91.5027,96.0524,86.2415,91.2697,86.0077,90.1962,49.7298,44.6208,50.0,47.2422,49.9984,47.5628,0
14,2.807672,0.183997,0,-1,86.9694,95.5016,85.4047,89.8759,86.174,91.1371,49.9987,44.3675,50.0,47.6637,49.998,46.9554,0
15,2.99969,0.192017,200,1,86.8848,94.9487,85.579,91.5098,85.8932,89.1761,49.9993,44.7012,50.0,46.6149,49.998,48.2799,0
16,3.183681,0.183991,200,1,89.5911,95.2828,88.8041,91.8012,92.0302,91.6139,49.79,44.8607,49.9792,47.2751,49.3906,47.3392,0
17,3.367758,0.184077,200,1,95.9884,97.151,89.6235,92.4386,92.3289,91.8013,49.2194,44.4382,49.9792,47.3896,49.4535,47.2145,0
18,3.555706,0.187948,0,-1,96.2513,97.4554,88.6967,90.8965,92.865,92.9618,49.3359,44.3245,50.0,48.3021,49.4499,46.57,0
19,3.747743,0.192037,0,-1,91.0012,95.8346,86.1658,91.6425,85.9149,89.4846,49.7503,44.7002,50.0,46.9098,49.9984,48.0599,0
20,3.931738,0.183995,0,-1,86.9377,95.1391,85.4906,90.6304,86.0326,90.3438,49.9987,44.5824,50.0,47.1462,49.9984,47.4938,0
21,4.115749,0.184011,200,1,86.9289,95.3223,85.3927,89.8159,86.0914,90.7547,49.9987,44.4476,50.0,47.6595,49.998,47.1709,0
22,4.307742,0.191993,200,1,93.1463,96.4271,89.7362,92.8909,91.4404,90.9141,49.6715,44.6006,49.8926,46.8955,49.5068,47.8171,0
23,4.49173,0.183988,200,1,95.876,96.9394,89.4845,92.0794,92.3757,92.1918,49.321,44.5885,49.9814,47.571,49.4385,46.9727,0
24,4.675766,0.184036,200,1,96.382,97.5082,88.8012,91.0895,93.0411,93.2618,49.3125,44.2604,50.0,48.1647,49.3542,46.3545,0
25,4.863825,0.188059,200,1,95.8568,97.2374,89.4922,92.1922,92.6501,92.7487,49.2868,44.3942,49.9808,47.5319,49.3385,46.6589,0
26,5.051763,0.187938,200,1,96.2839,97.4252,88.9185,91.3018,92.8137,93.0471,49.2383,44.2861,49.9977,48.0283,49.4769,46.5029,0
27,5.243789,0.192026,0,-1,95.8826,97.1496,90.2184,93.2431,91.2019,90.6482,49.3669,44.4372,49.8398,46.8906,49.6403,48.0505,0
28,5.427872,0.184083,0,-1,94.2605,97.1197,86.5287,91.2438,86.0367,90.5679,49.5498,44.3073,50.0,47.4434,49.998,47.3281,0
29,5.615889,0.188017,0,-1,86.8619,94.6377,85.5472,91.2523,85.937,89.5853,49.9987,44.8662,50.0,46.7699,49.9984,48.0394,0
30,5.799884,0.183995,0,-1,86.8751,94.5703,85.4724,90.6441,86.0204,90.0762,49.999,44.9062,50.0,47.1501,49.998,47.6781,0
31,5.991845,0.191961,0,-1,86.8561,94.5791,85.5378,91.2541,85.9317,89.5389,49.9987,44.9202,50.0,46.7656,49.9987,48.0342,0
32,6.17589,0.184045,0,-1,86.902,94.9104,85.4678,90.5037,86.0628,90.7546,49.9993,44.7223,50.0,47.2477,49.9961,47.2503,0
33,6.363872,0.187982,200,1,86.8721,94.7196,85.5003,90.7582,86.0162,90.3797,49.9987,44.8125,50.0,47.0231,49.9984,47.485,0
34,6.547928,0.184056,200,1,88.7982,95.3858,89.1602,92.343,91.6879,91.4115,49.8669,44.6764,49.9798,46.8314,49.3753,47.5365,0
35,6.73994,0.192012,200,1,95.3959,96.3649,90.4844,93.8136,91.3659,91.0059,49.3877,44.8704,49.7884,46.5964,49.5667,47.8161,0
36,6.923959,0.184019,0,-1,95.7425,96.9301,90.0325,93.0852,91.244,90.6458,49.3239,44.5563,49.8877,46.9844,49.5905,48.0303,0
37,7.11194,0.187981,0,-1,93.0845,96.0972,86.5206,92.276,85.9045,89.4991,49.5993,44.8031,50.0,46.7982,49.9984,48.0798,0
38,7.299932,0.187993,0,-1,86.8946,94.9934,85.5095,90.9433,85.9178,89.5899,49.999,44.679,50.0,46.9652,49.9984,48.0439,0
39,7.483927,0.183995,0,-1,86.941,95.1436,85.4714,90.4655,86.0169,90.1169,49.9987,44.5791,50.0,47.2806,49.998,47.6087,0
40,7.671966,0.188039,0,-1,86.9,94.8031,85.4889,90.6943,86.0413,90.2327,49.999,44.8128,50.0,47.1123,49.998,47.5928,0
41,7.859935,0.187969,0,-1,86.8786,94.6206,85.5286,90.9733,85.9715,89.7895,49.9987,44.9001,50.0,46.9535,49.9964,47.9014,0
42,8.047945,0.18801,200,1,86.8878,94.8449,85.5556,91.4036,85.9415,89.8162,49.9964,44.7412,50.0,46.6745,49.998,47.859,0
43,8.231993,0.184047,200,1,87.8952,95.1607,88.8274,91.973,91.4525,91.0611,49.9453,44.6875,49.9375,46.988,49.5156,47.7871,0
44,8.419981,0.187988,200,1,95.4788,96.5974,90.6479,93.8799,90.8698,90.4233,49.3392,44.7611,49.7217,46.6055,49.7292,48.2048,0
45,8.600035,0.180055,200,1,96.0385,97.4679,89.55,92.2376,92.5982,92.5717,49.3063,44.2386,49.9795,47.4746,49.418,46.7738,0
46,8.792012,0.191977,200,1,95.5057,96.5383,90.1889,93.2926,91.327,90.8292,49.2874,44.7891,49.8174,46.887,49.5742,47.9082,0
47,8.980015,0.188002,200,1,95.5124,96.5556,90.2506,93.5591,91.4522,91.2239,49.363,44.764,49.8812,46.7607,49.5153,47.6797,0
48,9.168018,0.188004,200,1,95.6792,96.7045,90.4068,93.5085,91.2395,90.9959,49.3376,44.708,49.8509,46.7116,49.6016,47.8939,0
49,9.35603,0.188012,200,1,95.7311,96.9321,90.3153,93.4451,91.0574,90.5875,49.3255,44.571,49.8564,46.7552,49.6113,48.0667,0
50,9.544016,0.187985,200,1,95.4368,96.693,90.8929,94.1157,90.5237,90.0813,49.4059,44.6618,49.6383,46.4538,49.7738,48.4456,0
51,9.728089,0.184074,0,-1,95.4808,96.3796,90.0326,93.1902,91.5394,91.4552,49.3402,44.8903,49.9059,46.9779,49.4971,47.5911,0
52,9.916028,0.187939,0,-1,93.6576,96.7158,86.4873,91.869,85.9787,89.8905,49.555,44.473,50.0,47.0023,49.9984,47.779,0
53,10.10009,0.184063,0,-1,86.9338,95.2251,85.4596,90.4705,86.0351,90.3678,49.9987,44.5062,50.0,47.2487,49.9984,47.4932,0
54,10.288103,0.188013,200,1,86.8921,94.8126,85.5809,91.4986,85.9055,89.3787,49.9964,44.7773,50.0,46.5898,49.9984,48.1657,0
55,10.480063,0.191959,200,1,88.9103,94.9297,89.935,93.0269,90.2936,90.0353,49.8613,44.9808,49.5918,46.4867,49.8877,48.5736,0
56,10.664092,0.18403,200,1,95.3419,96.2712,90.0842,93.209,91.408,91.0701,49.3669,44.9134,49.8864,46.9346,49.5807,47.8223,0
57,10.848143,0.184051,0,-1,95.5288,96.7859,90.1123,93.2027,91.4823,91.314,49.4059,44.6377,49.9391,46.9111,49.4355,47.665,0
58,11.040151,0.192008,0,-1,92.5941,95.9518,86.4861,93.1407,85.7548,88.3713,49.6696,44.8408,50.0,46.1423,49.9987,48.888,0
59,11.224141,0.18399,0,-1,86.8871,94.815,85.5927,91.615,85.8243,88.9107,49.999,44.7721,50.0,46.5615,49.998,48.474,0
60,11.41214,0.188,200,1,86.8515,94.5654,85.5802,91.5973,85.8759,89.347,49.999,44.9173,50.0,46.5322,49.998,48.2409,0
61,11.60018,0.188039,200,1,87.9262,94.8745,89.8661,93.1033,90.5802,90.5707,49.9453,44.8678,49.6243,46.3577,49.7835,48.1839,0
62,11.784231,0.184051,200,1,95.5212,96.5314,90.6227,93.9379,91.0326,90.8746,49.3275,44.7786,49.7917,46.5163,49.6025,47.9587,0
63,11.972134,0.187903,0,-1,95.6758,96.6538,90.149,93.323,91.3641,91.2098,49.3298,44.6982,49.835,46.8724,49.5313,47.7324,0
64,12.160118,0.187985,0,-1,93.9219,96.6099,86.5314,92.0134,85.9224,89.6589,49.5973,44.5625,50.0,46.9089,49.998,47.9876,0
65,12.348147,0.188029,0,-1,86.8539,94.5287,85.5581,91.3931,85.8453,89.2559,49.9997,44.958,50.0,46.6676,49.998,48.2878,0
66,12.536138,0.187991,0,-1,86.8615,94.6676,85.6244,91.8579,85.8536,89.2093,49.9984,44.8721,50.0,46.3893,49.998,48.3301,0
67,12.724146,0.188007,0,-1,86.8498,94.6006,85.5952,91.8,85.8391,89.225,49.9993,44.8952,50.0,46.4277,49.9984,48.3161,0
68,12.908144,0.183998,0,-1,86.8489,94.6929,85.5299,91.0535,85.8982,89.4454,49.9987,44.8516,50.0,46.9069,49.9961,48.1305,0
69,13.096195,0.188051,200,1,86.8761,94.5763,85.6188,91.8605,85.7775,88.4815,49.9993,44.9382,50.0,46.3669,49.9984,48.8229,0
