# timestamp: 20251101_194658
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: LS1
# light_col: 1
# light_channel: 3
# duration_s: 12.0
# dark_thresh: 90
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.091452,0.0,0,-1,88.9324,111.3994,85.9876,87.0166,85.8619,89.986,50.0,34.3076,49.9984,49.8698,50.0,49.9196,0
1,0.183251,0.091799,0,-1,88.9251,111.3921,85.9961,87.023,85.8671,89.9893,50.0,34.3141,49.999,49.8727,50.0,49.9189,0
2,0.279218,0.095966,0,-1,88.9287,111.3891,85.9867,87.0228,85.8725,89.9866,50.0,34.3379,49.9993,49.8757,50.0,49.9235,0
3,0.371247,0.092029,200,1,88.9324,111.3942,85.9912,87.0273,85.8716,89.9933,50.0,34.3493,49.9984,49.8724,50.0,49.9209,0
4,0.463279,0.092033,200,1,88.9333,111.3982,85.9965,87.0228,85.8715,89.9961,50.0,34.3027,49.9987,49.8727,50.0,49.9232,0
5,0.559241,0.095961,200,1,93.9648,112.7941,86.6438,87.3647,86.9786,90.5911,49.29,33.4652,49.9987,49.8717,49.7803,49.9167,0
6,0.651269,0.092028,0,-1,93.9572,112.7952,86.6407,87.3668,86.9774,90.5923,49.2874,33.4313,49.9977,49.8724,49.778,49.9199,0
7,0.743275,0.092007,0,-1,93.4985,112.6845,86.5897,87.3316,86.878,90.5233,49.3916,33.6087,49.998,49.8714,49.8444,49.9163,0
8,0.839252,0.095977,0,-1,88.9289,111.3888,85.9934,87.0236,85.8731,89.9943,50.0,34.3451,49.9993,49.8743,50.0,49.9225,0
9,0.931233,0.091981,200,1,88.9297,111.3922,85.992,87.0226,85.8651,89.9887,50.0,34.3379,49.999,49.8743,50.0,49.9222,0
10,1.027223,0.09599,200,1,88.9346,111.3986,85.9961,87.0223,85.8724,89.9854,50.0,34.2555,49.9993,49.875,50.0,49.9219,0
11,1.11923,0.092007,200,1,93.9595,112.799,86.6429,87.3649,86.9794,90.5896,49.291,33.4001,49.998,49.8734,49.7796,49.9206,0
12,1.21126,0.09203,200,1,93.9601,112.7974,86.6472,87.3695,86.9805,90.5916,49.2897,33.4606,49.9971,49.8714,49.7816,49.9186,0
13,1.307252,0.095992,200,1,93.954,112.794,86.639,87.3641,86.9763,90.5886,49.2786,33.4408,49.9977,49.8743,49.7767,49.917,0
14,1.399272,0.09202,200,1,93.9649,112.8095,86.6458,87.3661,86.9754,90.5854,49.2829,33.3962,49.9971,49.8721,49.7751,49.9196,0
15,1.491313,0.092041,200,1,93.9568,112.8054,86.6408,87.3671,86.9782,90.5931,49.2943,33.4372,49.9984,49.873,49.7786,49.9173,0
16,1.587282,0.095968,200,1,93.9463,112.794,86.6432,87.3712,86.9743,90.5884,49.2969,33.4466,49.9971,49.8717,49.7812,49.9206,0
17,1.679284,0.092003,200,1,93.9499,112.8034,86.6429,87.3672,86.9781,90.5876,49.2913,33.4255,49.9974,49.8714,49.7786,49.9189,0
18,1.771345,0.09206,200,1,93.953,112.8154,86.644,87.3685,86.9781,90.589,49.3024,33.4043,49.9984,49.8704,49.7806,49.9206,0
19,1.867289,0.095945,200,1,93.9463,112.804,86.6416,87.3699,86.9792,90.5928,49.3073,33.4238,49.9984,49.8701,49.7829,49.9189,0
20,1.959301,0.092011,200,1,93.9325,112.7963,86.6419,87.3661,86.9722,90.5929,49.293,33.4577,49.9971,49.8708,49.7835,49.9173,0
21,2.051428,0.092128,0,-1,93.9391,112.8031,86.6387,87.3626,86.9697,90.5878,49.2907,33.4492,49.9987,49.8714,49.7799,49.9173,0
22,2.147296,0.095868,0,-1,93.3739,112.6624,86.5807,87.3273,86.853,90.5112,49.4225,33.5843,49.9977,49.8717,49.8626,49.9202,0
23,2.239324,0.092028,0,-1,88.9386,111.4047,85.9892,87.023,85.8688,89.9897,50.0,34.3483,49.9987,49.8743,50.0,49.9206,0
24,2.335301,0.095976,0,-1,88.9274,111.3924,85.9939,87.026,85.8684,89.9821,50.0,34.2995,49.9993,49.8747,50.0,49.9206,0
