# timestamp: 20251101_165651
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 8.0
# gain: 10
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HS22
# duration_s: 5.0
# dark_thresh: 70
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,y_metric,y_mean,y_std,y_p10,y_p90,sat_lo_pct,sat_hi_pct,frame_drop
0,0.091282,0.0,200,1,0.0,107.465,26.307,86.0,143.0,0.0,0.0,0
1,0.183296,0.092014,200,1,0.0,107.471,26.302,86.0,143.0,0.0,0.0,0
2,0.279734,0.096438,200,1,0.0,107.471,26.3,86.0,143.0,0.0,0.0,0
3,0.371037,0.091302,0,-1,0.0,107.465,26.303,86.0,143.0,0.0,0.0,0
4,0.463067,0.092031,0,-1,0.0,106.856,25.974,86.0,142.0,0.0,0.0,0
5,0.559032,0.095965,0,-1,0.0,88.409,8.173,84.0,92.0,0.0,0.0,0
6,0.651083,0.09205,200,1,0.0,88.407,8.175,84.0,92.0,0.0,0.0,0
7,0.743067,0.091984,200,1,0.0,88.554,8.174,84.0,93.0,0.0,0.0,0
8,0.839035,0.095968,200,1,0.0,107.351,26.319,86.0,143.0,0.0,0.0,0
9,0.931095,0.09206,200,1,0.0,107.307,26.293,86.0,142.0,0.0,0.0,0
10,1.027023,0.095928,200,1,0.0,107.221,26.253,86.0,142.0,0.0,0.0,0
11,1.119049,0.092026,200,1,0.0,107.163,26.173,86.0,141.0,0.0,0.0,0
12,1.211075,0.092025,0,-1,0.0,107.121,26.146,86.0,141.0,0.0,0.0,0
13,1.307045,0.095971,0,-1,0.0,106.368,25.747,86.0,139.0,0.0,0.0,0
14,1.39907,0.092025,0,-1,0.0,88.22,7.777,84.0,92.0,0.0,0.0,0
15,1.491103,0.092032,200,1,0.0,88.235,7.818,84.0,92.0,0.0,0.0,0
16,1.587052,0.095949,200,1,0.0,88.416,7.883,84.0,93.0,0.0,0.0,0
17,1.679103,0.092051,200,1,0.0,107.173,26.252,86.0,142.0,0.0,0.0,0
18,1.77112,0.092017,0,-1,0.0,107.174,26.264,86.0,142.0,0.0,0.0,0
19,1.867087,0.095967,0,-1,0.0,106.333,25.795,86.0,141.0,0.0,0.0,0
20,1.959102,0.092015,0,-1,0.0,88.378,8.138,84.0,92.0,0.0,0.0,0
21,2.055099,0.095997,0,-1,0.0,88.382,8.162,84.0,92.0,0.0,0.0,0
22,2.147117,0.092018,0,-1,0.0,88.389,8.168,84.0,92.0,0.0,0.0,0
23,2.23913,0.092013,0,-1,0.0,88.389,8.162,84.0,92.0,0.0,0.0,0
24,2.335093,0.095963,0,-1,0.0,88.378,8.149,84.0,92.0,0.0,0.0,0
25,2.427108,0.092016,0,-1,0.0,88.381,8.162,84.0,92.0,0.0,0.0,0
