# timestamp: 20251101_211204
# cam_device: /dev/video0
# res: 2560x720
# exposure_ms: 5.0
# gain: 10.0
# stimulus: rand_telegraph
# low: 0
# high: 200
# hold_frames: 3
# test_light: HS21
# light_col: 1
# light_channel: 2
# duration_s: 12.0
# dark_thresh: 100
# notes: door closed, lab lights on, ~1m distance
frame_idx,t_s,dt_s,u_dac,stim_bit,mu_S11,mu_S12,mu_S21,mu_S22,mu_S31,mu_S32,y_S11,y_S12,y_S21,y_S22,y_S31,y_S32,frame_drop
0,0.095733,0.0,0,-1,87.5026,100.9493,85.3082,85.8416,85.2642,87.3162,50.0,40.873,49.9964,49.9147,50.0,49.9919,0
1,0.187492,0.091759,0,-1,87.5024,100.9529,85.312,85.8457,85.2611,87.3128,50.0,40.8743,49.9964,49.9134,50.0,49.9909,0
2,0.28349,0.095999,0,-1,87.4825,100.9508,85.3046,85.8444,85.2584,87.3096,50.0,40.8727,49.9964,49.9134,50.0,49.9925,0
3,0.375506,0.092016,200,1,87.4787,100.9418,85.3034,85.8433,85.2631,87.3091,50.0,40.8857,49.9967,49.9134,50.0,49.9906,0
4,0.467537,0.09203,200,1,87.5024,100.9575,85.3273,85.8501,85.3619,87.3243,50.0,40.8743,49.9961,49.9147,50.0,49.9919,0
5,0.563491,0.095955,200,1,100.5869,105.4621,90.1142,86.9834,94.2533,88.4335,48.5059,40.6468,49.8574,49.8486,46.9886,49.9909,0
6,0.655521,0.09203,0,-1,100.5634,105.4574,90.1117,86.9842,94.2549,88.4361,48.4941,40.6436,49.8503,49.8464,46.9723,49.9899,0
7,0.747538,0.092017,0,-1,100.5226,105.4419,90.0788,86.9708,94.1427,88.4223,48.5124,40.6566,49.8649,49.8493,47.0176,49.9893,0
8,0.843508,0.09597,0,-1,87.492,100.9614,85.309,85.8474,85.2606,87.3107,50.0,40.8753,49.9964,49.9154,50.0,49.9912,0
9,0.935512,0.092004,200,1,87.5013,100.97,85.3163,85.8498,85.2574,87.311,50.0,40.8669,49.9964,49.9163,50.0,49.9912,0
10,1.027528,0.092016,200,1,87.5113,100.9668,85.3357,85.8517,85.3701,87.3234,50.0,40.8743,49.9964,49.9131,50.0,49.9909,0
11,1.123534,0.096006,200,1,100.5447,105.4692,90.1145,86.9821,94.2542,88.4257,48.5169,40.6559,49.8623,49.8519,46.9844,49.9902,0
